CODE	UZ	RU	EN
Account	Muayyan maqsad uchun hisoblangan qiymatni kuzatish uchun moliyaviy vosita. Sog'liqni saqlash sohasida bemor uchun to'lovlarni, xarajatlar markazlarini va boshqalarni kuzatish uchun foydalaniladi.	Финансовый инструмент для отслеживания стоимости, накопленной для определенной цели. В сфере здравоохранения используется для отслеживания расходов на пациента, центров затрат и т. д.	A financial tool for tracking value accrued for a particular purpose. In the healthcare field, used to track charges for a patient, cost centers, etc.
ActivityDefinition	Ushbu resurs muayyan bemor, amaliyotchi yoki boshqa ishlash kontekstidan qat'i nazar, bajarilishi kerak bo'lgan ba'zi faoliyatni aniqlash imkonini beradi.	Этот ресурс позволяет определить некоторую деятельность, которая должна быть выполнена, независимо от конкретного пациента, врача или другого контекста выполнения.	This resource allows for the definition of some activity to be performed, independent of a particular patient, practitioner, or other performance context.
ActorDefinition	ActorDefinition resursi aktyorni tasvirlash uchun ishlatiladi - inson yoki ma'lumotlar almashinuvida rol o'ynaydigan va aktyor o'ynagan roli bilan bog'liq majburiyatlarga ega bo'lishi mumkin bo'lgan dastur.	Ресурс ActorDefinition используется для описания субъекта — человека или приложения, которые играют роль в обмене данными и могут иметь обязательства, связанные с ролью, которую играет субъект.	The ActorDefinition resource is used to describe an actor - a human or an application that plays a role in data exchange, and that may have obligations associated with the role the actor plays.
AdministrableProductDefinition	Bemorga qo'llash uchun yaroqli bo'lgan yakuniy shakldagi dorivor mahsulot (bir nechta komponentlarni har qanday aralashtirish, eritish va hokazolardan keyin).	Лекарственное средство в готовой форме, пригодной для введения пациенту (после смешивания нескольких компонентов, растворения и т. д.).	A medicinal product in the final form which is suitable for administering to a patient (after any mixing of multiple components, dissolution etc. has been performed).
AdverseEvent	Bemorga yoki tadqiqot ishtirokchisiga kutilmagan ta'sirlar bilan bog'liq bo'lishi mumkin bo'lgan hodisa (ya'ni bemorning hozirgi holatidagi har qanday o'zgarish). Kutilmagan ta'sirlar qo'shimcha monitoring, davolanish, kasalxonaga yotqizishni talab qilishi yoki o'limga olib kelishi mumkin. Salbiy hodisa resursi, shuningdek, bunday ta'sir ko'rsatishi mumkin bo'lgan potentsial yoki oldini olish mumkin bo'lgan hodisalarga ham taalluqlidir. AdverseEvent resursidan foydalanish kutilayotgan ikkita asosiy domen mavjud. Ulardan biri nojo'ya hodisalar haqida xabar berilgan klinik yordam, ikkinchisi esa klinik tadqiqot sinovlarini boshqarishda noxush hodisalar haqida xabar berish. Salbiy hodisalar haqida tibbiy yordam ko'rsatuvchi provayderlar, bemorlar, parvarish qiluvchilar yoki tibbiy mahsulotlar ishlab chiqaruvchilari xabar berishi mumkin. Ushbu ikki tushuncha o'rtasidagi farqni hisobga olgan holda, AdverseEvent Resursni amalga oshirishda domenga xos dastur qo'llanmalariga murojaat qilishni tavsiya etamiz. Amalga oshirish qo'llanmalari maxsus kengaytmalarni, qiymatlar to'plamini va cheklovlarni o'z ichiga oladi.	Событие (т. е. любое изменение текущего состояния пациента), которое может быть связано с непреднамеренными эффектами для пациента или участника исследования. Непреднамеренные эффекты могут потребовать дополнительного мониторинга, лечения, госпитализации или могут привести к смерти. Ресурс AdverseEvent также распространяется на потенциальные или предотвращенные события, которые могли бы иметь такие эффекты. Существует две основные области, в которых ожидается использование ресурса AdverseEvent. Одна из них — это неблагоприятные события, зарегистрированные в клинической практике, а другая — это сообщение о неблагоприятных событиях в управлении клиническими исследованиями. О неблагоприятных событиях могут сообщать поставщики медицинских услуг, пациенты, лица, осуществляющие уход, или производители медицинских изделий. Учитывая различия между этими двумя концепциями, мы рекомендуем ознакомиться с руководствами по внедрению для конкретных областей при внедрении ресурса AdverseEvent. Руководства по внедрению включают в себя определенные расширения, наборы значений и ограничения.	An event (i.e. any change to current patient status) that may be related to unintended effects on a patient or research participant. The unintended effects may require additional monitoring, treatment, hospitalization, or may result in death. The AdverseEvent resource also extends to potential or avoided events that could have had such effects. There are two major domains where the AdverseEvent resource is expected to be used. One is in clinical care reported adverse events and the other is in reporting adverse events in clinical research trial management. Adverse events can be reported by healthcare providers, patients, caregivers or by medical products manufacturers. Given the differences between these two concepts, we recommend consulting the domain specific implementation guides when implementing the AdverseEvent Resource. The implementation guides include specific extensions, value sets and constraints.
AllergyIntolerance	Zararli yoki kiruvchi, fiziologik reaktsiya xavfi, bu faqat individualdir va moddaga ta'sir qilish bilan bog'liq.	Риск возникновения вредной или нежелательной физиологической реакции, которая является уникальной для каждого человека и связана с воздействием вещества.	Risk of harmful or undesirable, physiological response which is unique to an individual and associated with exposure to a substance.
Appointment	Bemor(lar), amaliyotchi(lar), tegishli shaxs(lar) va/yoki qurilma(lar) oʻrtasida maʼlum bir sana/vaqt uchun sogʻliqni saqlash tadbirini bron qilish. Bu bir yoki bir nechta Uchrashuv(lar)ga olib kelishi mumkin.	Бронирование медицинского мероприятия среди пациентов, врачей, связанных лиц и/или устройств на определенную дату/время. Это может привести к одному или нескольким Encounter(s).	A booking of a healthcare event among patient(s), practitioner(s), related person(s) and/or device(s) for a specific date/time. This may result in one or more Encounter(s).
AppointmentResponse	Tasdiqlash yoki rad etish kabi bemor va/yoki amaliyotchi(lar)ni tayinlash soʻroviga javob.	Ответ на запрос о приеме пациента и/или врача(-ов), например, подтверждение или отклонение.	A reply to an appointment request for a patient and/or practitioner(s), such as a confirmation or rejection.
ArtifactAssessment	Ushbu Resurs Resurs haqida bir yoki bir nechta sharhlar, tasniflagichlar yoki reytinglarni taqdim etadi va qo'shilgan kontent uchun atribut va huquqlarni boshqarish metama'lumotlarini qo'llab-quvvatlaydi.	Этот ресурс предоставляет один или несколько комментариев, классификаторов или рейтингов о ресурсе и поддерживает метаданные атрибуции и управления правами для добавленного контента.	This Resource provides one or more comments, classifiers or ratings about a Resource and supports attribution and rights management metadata for the added content.
AuditEvent	Operatsiyalar, maxfiylik, xavfsizlik, texnik xizmat ko'rsatish va samaradorlikni tahlil qilish kabi maqsadlarga tegishli voqea yozuvi.	Запись события, имеющая значение для таких целей, как эксплуатация, конфиденциальность, безопасность, техническое обслуживание и анализ производительности.	A record of an event relevant for purposes such as operations, privacy, security, maintenance, and performance analysis.
