Код услуг	Наименование медицинских услуг
A01.01.001	Сбор анамнеза и жалоб в дерматологии
A01.01.001.001	Сбор анамнеза и жалоб при термических, химических и электрических ожогах
A01.01.002	Визуальное исследование в дерматологии
A01.01.002.001	Визуальное исследование при термических, химических и электрических ожогах
A01.01.003	Пальпация в дерматологии
A01.01.003.001	Пальпация при термических, химических и электрических ожогах
A01.01.004	Сбор анамнеза и жалоб в косметологии
A01.01.005	Определение дермографизма
A01.02.001	Сбор анамнеза и жалоб при заболеваниях мышц
A01.02.002	Визуальное исследование мышц
A01.02.003	Пальпация мышц
A01.03.001	Сбор анамнеза и жалоб при патологии костной системы
A01.03.002	Визуальное исследование костной системы
A01.03.003	Пальпация костной системы
A01.03.004	Перкуссия костной системы
A01.04.001	Сбор анамнеза и жалоб при патологии суставов
A01.04.002	Визуальное исследование суставов
A01.04.003	Пальпация суставов
A01.04.004	Перкуссия суставов
A01.05.001	Сбор анамнеза и жалоб при заболеваниях органов кроветворения и крови
A01.05.002	Визуальное исследование при заболеваниях органов кроветворения и крови
A01.05.003	Пальпация при заболеваниях органов кроветворения и крови
A01.05.004	Перкуссия при заболеваниях органов кроветворения и крови
A01.06.001	Сбор анамнеза и жалоб при патологии органов иммунной системы
A01.06.002	Визуальное исследование при патологии органов иммунной системы
A01.06.003	Пальпация при патологии органов иммунной системы
A01.07.001	Сбор анамнеза и жалоб при патологии полости рта
A01.07.001.001	Сбор анамнеза и жалоб при патологии полости рта, включая черепно-челюстно-лицевой области
A01.07.002	Визуальное исследование при патологии полости рта
A01.07.002.001	Визуальное исследование при патологии полости рта, включая черепно-челюстно-лицевой области
A01.07.003	Пальпация органов полости рта
A01.07.003.001	Пальпация при патологии полости рта, включая черепно-челюстно-лицевой области
A01.07.004	Перкуссия при патологии полости рта
A01.07.004.001	Перкуссия при патологии полости рта, включая черепно-челюстно-лицевой области
A01.07.005	Внешний осмотр челюстно-лицевой области
A01.07.006	Пальпация челюстно-лицевой области
A01.07.007	Определение степени открывания рта и ограничения подвижности нижней челюсти
A01.08.001	Сбор анамнеза и жалоб при заболеваниях верхних дыхательных путей
A01.08.002	Визуальное исследование верхних дыхательных путей
A01.08.003	Пальпация при заболеваниях верхних дыхательных путей
A01.08.004	Перкуссия при заболеваниях верхних дыхательных путей
A01.09.001	Сбор анамнеза и жалоб при заболеваниях легких и бронхов
A01.09.002	Визуальное исследование при заболеваниях легких и бронхов
A01.09.003	Пальпация при заболеваниях легких и бронхов
A01.09.004	Перкуссия при заболеваниях легких и бронхов
A01.09.005	Аускультация при заболеваниях легких и бронхов
A01.10.001	Сбор анамнеза и жалоб при патологии сердца и перикарда
A01.10.002	Визуальное исследование при патологии сердца и перикарда
A01.10.003	Пальпация при патологии сердца и перикарда
A01.10.004	Перкуссия при патологии сердца и перикарда
A01.10.005	Аускультация при патологии сердца и перикарда
A01.11.001	Сбор анамнеза и жалоб при патологии средостения
A01.11.002	Пальпация при патологии средостения
A01.11.003	Перкуссия при патологии средостения
A01.12.001	Сбор анамнеза и жалоб при сосудистой патологии
A01.12.002	Визуальное исследование при сосудистой патологии
A01.12.003	Пальпация при сосудистой патологии
A01.12.004	Аускультация при сосудистой патологии
A01.13.001	Сбор анамнеза и жалоб при микроциркуляторной патологии
A01.13.002	Визуальное исследование при микроциркуляторной патологии
A01.13.003	Пальпация при микроциркуляторной патологии
A01.13.004	Аускультация при микроциркуляторной патологии
A01.14.001	Сбор анамнеза и жалоб при заболеваниях печени и желчевыводящих путей
A01.14.002	Визуальное исследование при заболеваниях печени и желчевыводящих путей
A01.14.003	Пальпация при заболеваниях печени и желчевыводящих путей
A01.14.004	Перкуссия при заболеваниях печени и желчевыводящих путей
A01.15.001	Сбор анамнеза и жалоб при заболеваниях поджелудочной железы
A01.15.002	Визуальное исследование при заболеваниях поджелудочной железы
A01.15.003	Пальпация при заболеваниях поджелудочной железы
A01.15.004	Перкуссия при заболеваниях поджелудочной железы
A01.16.001	Сбор анамнеза и жалоб при заболеваниях пищевода, желудка, двенадцатиперстной кишки
A01.16.002	Визуальное исследование при заболеваниях пищевода, желудка, двенадцатиперстной кишки
A01.16.003	Пальпация при заболеваниях пищевода, желудка, двенадцатиперстной кишки
A01.16.004	Перкуссия при заболеваниях пищевода, желудка, двенадцатиперстной кишки
A01.16.005	Аускультация при заболеваниях пищевода, желудка, двенадцатиперстной кишки
A01.17.001	Сбор анамнеза и жалоб при заболеваниях тонкой кишки
A01.17.002	Визуальное исследование при заболеваниях тонкой кишки
A01.17.003	Пальпация при заболеваниях тонкой кишки
A01.17.004	Перкуссия при заболеваниях тонкой кишки
A01.17.005	Аускультация при заболеваниях тонкой кишки
A01.18.001	Сбор анамнеза и жалоб при заболеваниях толстой кишки
A01.18.002	Визуальное исследование при заболеваниях толстой кишки
A01.18.003	Пальпация при заболеваниях толстой кишки
A01.18.004	Перкуссия при заболеваниях толстой кишки
A01.18.005	Аускультация при заболеваниях толстой кишки
A01.19.001	Сбор анамнеза и жалоб при патологии сигмовидной и прямой кишки
A01.19.002	Визуальное исследование при патологии сигмовидной и прямой кишки
A01.19.003	Пальпация при патологии сигмовидной и прямой кишки
A01.19.004	Трансректальное пальцевое исследование
A01.20.001	Сбор акушерско-гинекологического анамнеза и жалоб
A01.20.002	Визуальный осмотр наружных половых органов
A01.20.003	Бимануальное влагалищное исследование
A01.20.004	Бимануальное ректоабдоминальное исследование
A01.20.005	Визуальное исследование молочных желез
A01.20.006	Пальпация молочных желез
A01.21.001	Сбор анамнеза и жалоб при патологии мужских половых органов
A01.21.002	Визуальное исследование при патологии мужских половых органов
A01.21.003	Пальпация при патологии мужских половых органов
A01.22.001	Сбор анамнеза и жалоб в эндокринологии
A01.22.002	Визуальное исследование в эндокринологии
A01.22.003	Пальпация в эндокринологии
A01.23.001	Сбор анамнеза и жалоб при патологии центральной нервной системы и головного мозга
A01.23.002	Визуальное исследование при патологии центральной нервной системы и головного мозга
A01.23.003	Пальпация при патологии центральной нервной системы и головного мозга
A01.23.004	Исследование чувствительной и двигательной сферы при патологии центральной нервной системы и головного мозга
A01.24.001	Сбор анамнеза и жалоб при патологии периферической нервной системы
A01.24.002	Визуальное исследование при патологии периферической нервной системы
A01.24.003	Пальпация при патологии периферической нервной системы
A01.24.004	Исследование чувствительной и двигательной сферы при патологии периферической нервной системы
A01.25.001	Сбор анамнеза и жалоб при патологии органа слуха
A01.25.002	Визуальное исследование при патологии органа слуха
A01.25.003	Пальпация при патологии органа слуха
A01.25.004	Перкуссия при патологии органа слуха
A01.26.001	Сбор анамнеза и жалоб при патологии глаза
A01.26.002	Визуальное исследование глаз
A01.26.003	Пальпация при патологии глаз
A01.27.001	Сбор анамнеза и жалоб при патологии органа обоняния
A01.27.002	Визуальное исследование при патологии органа обоняния
A01.27.003	Пальпация при патологии органа обоняния
A01.27.004	Перкуссия при патологии органа обоняния
A01.28.001	Сбор анамнеза и жалоб при патологии почек и мочевыделительной системы
A01.28.002	Визуальное исследование при патологии почек и мочевыделительной системы
A01.28.003	Пальпация при патологии почек и мочевыделительной системы
A01.28.004	Перкуссия при патологии почек и мочевыделительной системы
A01.29.001	Сбор жалоб и анамнеза (объективный и субъективный) в психиатрии
A01.29.002	Визуальное исследование в психиатрии
A01.29.003	Пальпация в психиатрии
A01.29.005	Сбор жалоб и анамнеза (объективный и субъективный) в психиатрии-наркологии
A01.29.006	Визуальное исследование в психиатрии-наркологии
A01.29.007	Пальпация в психиатрии-наркологии
A01.29.008	Сбор психологического анамнеза и жалоб
A01.30.001	Сбор анамнеза и жалоб при инфекционном заболевании
A01.30.002	Визуальное исследование при инфекционном заболевании
A01.30.003	Пальпация при инфекционном заболевании
A01.30.004	Перкуссия при инфекционном заболевании
A01.30.005	Аускультация при инфекционном заболевании
A01.30.006	Оценка состояния новорожденного по шкале Апгар
A01.30.007	Пальпация плода
A01.30.008	Оценка гестационного возраста новорожденного по шкале Балорда
A01.30.009	Сбор анамнеза и жалоб терапевтический
A01.30.009.001	Сбор анамнеза и жалоб при радиационном поражении
A01.30.009.002	Сбор анамнеза и жалоб при отравлении
A01.30.010	Визуальный осмотр терапевтический
A01.30.011	Пальпация терапевтическая
A01.30.012	Аускультация терапевтическая
A01.30.013	Сбор анамнеза и жалоб при генетическом консультировании
A01.30.014	Визуальное исследование при генетическом консультировании
A01.30.015	Составление родословной
A01.30.016	Перкуссия терапевтическая
A01.30.017	Сбор анамнеза и жалоб при патологии брюшной стенки
A01.30.018	Визуальный осмотр при патологии брюшной стенки
A01.30.019	Пальпация при патологии брюшной стенки
A01.30.020	Перкуссия при патологии брюшной стенки
A01.30.021	Аускультация при патологии брюшной стенки
A01.30.022	Определение площади ожога
A01.30.023	Сбор спортивного анамнеза
A01.30.024	Составление заключения о физическом развитии
A01.30.025	Соматоскопия
A01.30.025.001	Определение формы спины
A01.30.025.002	Определение формы грудной клетки
A01.30.025.003	Определение формы ног
A01.30.025.004	Определение телосложения
A01.30.026	Опрос (анкетирование) на выявление неинфекционных заболеваний и факторов риска их развития
A01.30.027	Сбор анамнеза и жалоб в радиотерапии
A01.30.028	Сбор анамнеза и жалоб остеопатический
A01.30.029	Визуальный осмотр остеопатический
A01.30.030	Пальпация остеопатическая
A01.30.030.001	Пальпаторное остеопатическое определение соматических дисфункций глобальных биомеханических
A01.30.030.002	Пальпаторное остеопатическое определение соматических дисфункций глобальных ритмогенных
A01.30.030.003	Пальпаторное остеопатическое определение соматических дисфункций глобальных нейродинамических
A01.30.030.004	Пальпаторное остеопатическое определение соматических дисфункций региона головы
A01.30.030.005	Пальпаторное остеопатическое определение соматических дисфункций региона шеи
A01.30.030.006	Пальпаторное остеопатическое определение соматических дисфункций региона грудного
A01.30.030.007	Пальпаторное остеопатическое определение соматических дисфункций региона поясничного
A01.30.030.008	Пальпаторное остеопатическое определение соматических дисфункций региона таза
A01.30.030.009	Пальпаторное остеопатическое определение соматических дисфункций региона верхних конечностей
A01.30.030.010	Пальпаторное остеопатическое определение соматических дисфункций региона нижних конечностей
A01.30.030.011	Пальпаторное остеопатическое определение соматических дисфункций региона твердой мозговой оболочки
A01.30.030.012	Пальпаторное остеопатическое определение соматических дисфункций региональных нейродинамических
A01.30.030.013	Пальпаторное остеопатическое определение локальных соматических дисфункций верхних конечностей
A01.30.030.014	Пальпаторное остеопатическое определение локальных соматических дисфункций нижних конечностей
A01.30.030.015	Пальпаторное остеопатическое определение локальных соматических дисфункций костей и сочленений таза
A01.30.030.016	Пальпаторное остеопатическое определение локальных соматических дисфункций грудной клетки
A01.30.030.017	Пальпаторное остеопатическое определение локальных соматических дисфункций краниосакральной системы и органов головы
A01.30.030.018	Пальпаторное остеопатическое определение локальных соматических дисфункций нервной и эндокринной систем
A01.30.030.019	Пальпаторное остеопатическое определение локальных соматических дисфункций внутренних органов
A02.01.001	Измерение массы тела
A02.01.001.001	Биоимпедансная спектроскопия
A02.01.001.002	Дистанционное наблюдение за показателями массы тела
A02.01.002	Аускультация в дерматологии
A02.01.003	Определение сальности кожи
A02.01.004	Измерение толщины кожной складки (пликометрия)
A02.01.005	Проведение йодной пробы
A02.01.006	Люминесцентная диагностика (осмотр под лампой Вуда)
A02.01.007	Линейное измерение дефекта кожи
A02.01.008	Исследование карманов при дефектах кожных покровов с помощью зонда
A02.02.001	Измерение силы мышц спины
A02.02.002	Измерение силы мышц живота
A02.02.003	Измерение силы мышц кисти
A02.02.004	Определение статической силы одной мышцы
A02.02.005	Определение динамической силы одной мышцы
A02.02.006	Определение динамического концентрического усилия одной мышцы
A02.02.007	Определение динамического эксцентрического усилия одной мышцы
A02.02.008	Определение динамического изокинетического усилия одной мышцы
A02.02.009	Определение дисфункций мышц и фасций в остеопатии
A02.03.001	Линейное измерение костей
A02.03.002	Измерение окружности головы
A02.03.003	"Плантография (получения графического ""отпечатка"" подошвенной поверхности стопы)"
A02.03.003.001	Компьютерная плантография
A02.03.004	Осанкометрия
A02.03.005	Измерение роста
A02.03.006	Измерение подвижности позвоночника
A02.03.007	Измерение основных анатомических окружностей
A02.03.007.001	Определение окружности шеи
A02.03.007.002	Определение окружности плеча
A02.03.007.003	Определение окружности предплечья
A02.03.007.004	Определение окружности талии
A02.03.007.005	Определение окружности живота
A02.03.007.006	Определение окружности бедра
A02.03.007.007	Определение окружности голени
A02.03.007.008	Определение плечевого диаметра
A02.03.007.009	Определение тазо-гребневого диаметра
A02.04.001	Линейное измерение сустава
A02.04.002	Измерение объема сустава
A02.04.003	Измерение подвижности сустава (углометрия)
A02.04.003.001	Определение объема пассивного движения одного сустава в одной плоскости
A02.04.003.002	Определение объема активного движения одного сустава в одной плоскости
A02.04.004	Аускультация сустава
A02.04.005	Определение дыхательной волны и складки Киблера в грудном отделе позвоночника
A02.04.006	Пружинирование в остеотапии
A02.04.006.001	Пружинирование в проекции поперечных отростков грудных позвонков
A02.04.006.002	Пружинирование в проекции поперечных отростков реберно-позвоночных суставов
A02.04.006.003	Пружинирование паравертебральное в поясничном отделе позвоночника
A02.06.001	Измерение объема лимфоузлов
A02.07.001	Осмотр полости рта с помощью дополнительных инструментов
A02.07.002	Исследование кариозных полостей с использованием стоматологического зонда
A02.07.003	Исследование зубодесневых карманов с помощью пародонтологического зонда
A02.07.004	Антропометрические исследования
A02.07.005	Термодиагностика зуба
A02.07.006	Определение прикуса
A02.07.006.001	Определение вида смыкания зубных рядов с помощью лицевой дуги
A02.07.007	Перкуссия зубов
A02.07.008	Определение степени патологической подвижности зубов
A02.07.009	Одонтопародонтограмма
A02.07.010	Исследование на диагностических моделях челюстей
