CODE	UZ	RU	EN
  DADDR	Yetkazib berish manzili	Адрес доставки	Delivery Address
organ0001.00119	Akusherlik bo'limi	Акушерское отделение	Obstetric department
  OUTPHARM	Ambulator dorixona	Амбулаторная аптека	outpatient pharmacy
  OUTLAB	Ambulatoriya laboratoriyasi	Амбулаторная лаборатория	outpatient laboratory
  OF	ambulatoriya muassasasi	амбулаторное учреждение	Outpatient facility
  CARD	ambulatoriya tibbiyot muassasalari; klinika/markaz; Reabilitatsiya: Kardiologiya muassasalari	амбулаторные медицинские учреждения; клиника/центр; Реабилитация: Кардиологические учреждения	Ambulatory Health Care Facilities; Clinic/Center; Rehabilitation: Cardiac Facilities
  PHARM	Dorixona	Аптека	Pharmacy
organ0001.00126	Bakteriologik laboratoriya	Бактериологическая лаборатория	Bacteriological laboratory
organ0001.00001	Biopsiya diagnostikasi	Биопсийная диагностика	Biopsy diagnostics
organ0001.00133	Biokimyoviy laboratoriya	Биохимическая лаборатория	Biochemical laboratory
  HOSP	Kasalxona	Больница	Hospital
  GACH	Kasalxonalar; Umumiy shoshilinch tibbiy yordam shifoxonasi	Больницы; Больница общей неотложной помощи	Hospitals; General Acute Care Hospital
  HLAB	Kasalxona laboratoriyasi	Больничная лаборатория	hospital laboratory
  HU	Kasalxona bo'limi	Больничное отделение	Hospital unit
  MHSP	Harbiy kasalxona	Военный госпиталь	Military Hospital
organ0001.00002	O'smirlik va muddatli harbiy xizmatga chaqirilgan yoshlar kasalliklarini tibbiy ko'rikdan o'tkazish	Врачебная экспертиза заболеваний подросткового возраста и призывной молодежи	Medical examination of diseases of adolescence and conscript youth
organ0001.00003	Tibbiy va mehnat ekspertizasi	Врачебно-трудовая экспертиза	Medical and labor examination
  GIDX	Gastroenterologik diagnostika yoki terapevtik laboratoriya	Гастроэнтерологическая диагностическая или терапевтическая лаборатория	Gastroenterology diagnostics or therapeutics lab
  GI	Gastroenterologiya klinikasi	Гастроэнтерологическая клиника	Gastroenterology clinic
  HEM	Gematologiya klinikasi	Гематологическая клиника	Hematology clinic
organ0001.00138	Genetika laboratoriyasi	Генетическая лаборатория	Genetic laboratory
  GYN	Ginekologik klinika	Гинекологическая клиника	Gynecology clinic
  HTN	Gipertenziya klinikasi	Гипертоническая клиника	Hypertension clinic
  DERM	Dermatologiya klinikasi	Дерматологическая клиника	Dermatology clinic
  PEDGI	Bolalar gastroenterologiya klinikasi	Детская гастроэнтерологическая клиника	Pediatric gastroenterology clinic
  PEDHEM	Bolalar gematologiya klinikasi	Детская гематологическая клиника	Pediatric hematology clinic
  CANC	bolalar va o'smirlar nevrologik klinikasi	детская и подростковая неврологическая клиника	Child and adolescent neurology clinic
  CAPC	bolalar va o'smirlar psixiatriya klinikasi	детская и подростковая психиатрическая клиника	Child and adolescent psychiatry clinic
  PEDID	Bolalar yuqumli kasalliklar klinikasi	Детская инфекционная клиника	Pediatric infectious disease clinic
  PEDCARD	Bolalar kardiologiya klinikasi	Детская кардиологическая клиника	Pediatric cardiology clinic
  PEDE	Bolalar endokrinologiya klinikasi	Детская эндокринологическая клиника	Pediatric endocrinology clinic
  PEDU	Bolalar bo'limi	Детское отделение	Pediatric unit
  DX	Diagnostika yoki terapevtik bo'lim	Диагностическое или терапевтическое отделение	Diagnostics or therapeutics unit
organ0001.00004	Akupunktur	Иглорефлексотерапия	Acupuncture
organ0001.00135	Immunologik laboratoriya	Иммунологическая лаборатория	Immunological laboratory
  INFD	Yuqumli kasalliklar klinikasi	Инфекционная клиника	Infectious disease clinic
  OB	Akusherlik klinikasi	Клиника акушерства	Obstetrics clinic
  ALL	allergiya klinikasi	клиника аллергии	Allergy clinic
  INV	Bepushtlik klinikasi	Клиника бесплодия	Infertility clinic
  PEDNEPH	Bolalar nefrologiyasi klinikasi	Клиника детской нефрологии	Pediatric nephrology clinic
  PEDHO	Bolalar onkologiyasi klinikasi	Клиника детской онкологии	Pediatric oncology clinic
  PEDRHEUM	Bolalar revmatologiyasi klinikasi	Клиника детской ревматологии	Pediatric rheumatology clinic
  COAG	Koagulyatsiya klinikasi	Клиника коагуляции	Coagulation clinic
  CRS	Kolorektal jarrohlik klinikasi	Клиника колоректальной хирургии	Colon and rectal surgery clinic
  MGEN	Tibbiy genetika klinikasi	Клиника медицинской генетики	Medical genetics clinic
