CODE	UZ	RU	EN
1726	Toshkent shahri	город Ташкент	
1726260	Toshkent shahrining tumanlari	Районы города Ташкента	
1726262	Uchtepa tumani	Учтепинский район	
1726264	Bektemir tumani	Бектемирский район	
1726266	Yunusobod tumani	Юнусабадский район	
1726269	Mirzo Ulug‘bek tumani	Мирзо-Улугбекский район	
1726269550	Mirzo Ulug‘bek tumani hokimiyatiga qarashli shaharlar	Городские поселки,подч. хок-ту М.Улугбекского р-на	
1726269558	Ulug‘bek	Улугбек	
1726273	Mirobod tumani	Мирабадский район	
1726277	Shayxontoxur tumani	Шайхантахурский район	
1726280	Olmazor tumani	Алмазарский район	
1726283	Sirg‘ali tumani	Сергелийский район	
1726287	Yakkasaroy tumani	Яккасарайский район	
1726290	Yashnobod tumani	Яшнободский район	
1726292	Yangihayot tumani	Янгихаётский район	
1726294	Chilonzor tumani	Чиланзарский район	
