CODE	UZ	RU	EN	
unknown 	Noma'lum	Неизвестный	Unknown	Неизвестно по какой причине отсутствует значение
asked-unknown 	So‘ralgan, lekin noma’lum	Спросили, но неизвестно	Asked But Unknown	Пациент не знает ответа (например, про возраст)
temp-unknown 	Vaqtincha noma’lum	Временно неизвестно	Temporarily Unknown	Значение неизвестно, но может быть получено позже
not-asked 	So‘ralmagan	Не спросили	Not Asked	"	Вопрос не был задан"
asked-declined 	So‘raldi, lekin rad etildi	Спросили, но отказано	Asked But Declined	Пациенту был задан вопрос, но он отказался отвечать
masked 	Yashirin	Скрытый	Masked	Данные есть, но скрыты из-за конфиденциальности
not-applicable 	Qo'llab bo'lmaydigan	Не применимый	Not Applicable	Невозможно применить (например, последний менструальный цикл для мужчины)
unsupported 	Qo‘llab-quvvatlanmaydi	Неподдерживаемый	Unsupported	Не поддерживается в текущей системе
as-text 	Matn ko'rinishida	Как текст	As Text	Это может быть связано с помощью внутренних ссылок (например, xml:id). Обычно это означает, что значение не удалось представить в правильном формате - это может быть связано с системными ограничениями или с этим конкретным значением данных.
error 	Xato	Ошибка	Error	Из-за системной ошибки или ошибки рабочего процесса информация недоступна.
not-a-number 	Son emas	Не число (NaN)	Not a Number (NaN)	Числовое значение не определено или непредставимо из-за ошибки обработки с плавающей запятой. Иногда это выходное значение измерительных приборов.
negative-infinity 	Manfiy cheksizlik	Отрицательная бесконечность (NINF)	Negative Infinity (NINF)	Числовое значение слишком мало и непредставимо из-за ошибки обработки чисел с плавающей запятой. Иногда это выходное значение измерительных приборов.
positive-infinity 	Musbat cheksizlik	Положительная бесконечность (ПБНФ)	Positive Infinity (PINF)	Числовое значение чрезмерно велико и непредставимо из-за ошибки обработки чисел с плавающей запятой. Иногда это выходное значение измерительных приборов.
not-performed 	Bajarilmagan	Не выполнено	Not Performed	Значение недоступно, поскольку процедура обследования (тест и т.п.) не была проведена.
not-permitted 	Ruxsat berilmagan	Не разрешено	Not Permitted	Значение недопустимо в данном контексте (например, из-за профилей или базовых типов данных).
