CAR 	Tashuvchi	Носитель	Carrier	Пациент считается носителем на основании результатов тестирования. Носитель — это человек, который несет измененную форму гена, которая может привести к рождению ребенка или потомства в будущих поколениях с генетическим заболеванием.
B 	Yaxshiroq	Лучше	Better	Текущий результат или значение наблюдения улучшились по сравнению с предыдущим результатом или значением наблюдения (изменение является значительным, как определено в соответствующей процедуре испытания).
D 	Sezarli pastga o‘zgarish	Значительное изменение вниз	Significant change down	Текущий результат снизился по сравнению с предыдущим результатом количественного наблюдения (изменение является значимым, как определено в соответствующей процедуре испытания).
U 	Jiddiy o‘zgarish	Значительные изменения	Significant change up	Текущий результат увеличился по сравнению с предыдущим результатом количественного наблюдения (изменение является значимым, как определено в соответствующей процедуре испытания).
W 	Battar	Хуже	Worse	Текущий результат или значение наблюдения ухудшились по сравнению с предыдущим результатом или значением наблюдения (изменение является значительным, как определено в соответствующей процедуре испытания).
< 	Shkaladan past darajada	Зашкаливающий низкий уровень	Off scale low	Результат ниже минимального предела обнаружения (ограничивающим фактором является процедура испытания или оборудование).
> 	Shkaladan uyqori darajada	Зашкаливающий высокий уровень	Off scale high	Результат превышает максимальный количественный предел (ограничивающим фактором является процедура испытания или оборудование).
IE 	Dalillar yetarli emas	Недостаточно доказательств	Insufficient evidence	Недостаточно доказательств того, что рассматриваемый вид является хорошей мишенью для терапии препаратом. Категорическая интерпретация невозможна.
A 	Anomal	Аномальный	Abnormal	Результат или наблюдаемое значение выходит за пределы контрольного диапазона или ожидаемой нормы (как определено для соответствующей процедуры испытания).
AA 	Kritik anormallik	Критический аномальный	Critical abnormal	Результат или значение наблюдения выходит за пределы контрольного диапазона или ожидаемой нормы на уровне, при котором следует рассмотреть необходимость немедленных действий для обеспечения безопасности пациента (как определено для соответствующей процедуры испытания).
HH 	Kritik yuqori	Критически высокий	Critical high	Результат количественного наблюдения превышает контрольный уровень, при котором следует рассмотреть необходимость принятия немедленных мер для обеспечения безопасности пациента (как определено для соответствующей процедуры испытания).
LL 	Kritik past	Критически низкий	Critical low	Результат количественного наблюдения ниже контрольного уровня, при котором следует рассмотреть немедленные действия для обеспечения безопасности пациента (как определено для соответствующей процедуры испытания).
H 	Yuqori	Высокий	High	Результат количественного наблюдения превышает верхний предел контрольного диапазона (определенного для соответствующей процедуры испытания).
HU 	Sezarli yuqori	Значительно высокий	Significantly high	Результат теста, который значительно превышает референтный (нормальный) или терапевтический интервал, но не достиг критически высокого значения и может требовать особого внимания, как определено лабораторией или врачом.
L 	Past	Низкий	Low	Результат количественного наблюдения ниже нижнего предела контрольного диапазона (определенного для соответствующей процедуры испытания).
LU 	Ancha (juda) past	Значительно низкий	Significantly low	Результат теста, который значительно ниже референтного (нормального) или терапевтического интервала, но не достиг критически низкого значения и может требовать особого внимания, как определено лабораторией или врачом.
N 	Normal	Нормальный	Normal	Результат или наблюдаемое значение находится в пределах контрольного диапазона или ожидаемой нормы (как определено для соответствующей процедуры испытания).
I 	O‘rtacha	Средний	Intermediate	Бактериальный штамм, ингибируемый in vitro концентрацией антимикробного агента, которая связана с неопределенным терапевтическим эффектом. Ссылка: CLSI (http://www.clsi.org/Content/NavigationMenu/Resources/HarmonizedTerminologyDatabase/Harmonized_Terminolo.htm) Проекты: ISO 20776-1, ISO 20776-2
NCL 	CLSI standartlariga ko‘ra belgilangan chegara qiymati mavjud emas	Нет установленного порогового значения по стандартам CLSI	No CLSI defined breakpoint	Используйте, когда недостаточно данных клинических испытаний, опубликованных Институтами клинических и лабораторных стандартов (CLSI), для установления контрольных точек для восприимчивых/промежуточных и устойчивых микроорганизмов.
NS 	Ta’sir qilmaydigan	Невосприимчивый	Non-susceptible	Категория, используемая для изолятов, для которых был назначен только восприимчивый интерпретативный критерий из-за отсутствия или редкого появления резистентных штаммов. Изоляты, имеющие МИК выше или диаметры зон ниже значения, указанного для восприимчивой контрольной точки, следует сообщать как невосприимчивые.
R 	Chidamli	Устойчивый	Resistant	Бактериальный штамм, ингибируемый in vitro концентрацией антимикробного агента, которая связана с высокой вероятностью терапевтической неудачи. Ссылка: CLSI (http://www.clsi.org/Content/NavigationMenu/Resources/HarmonizedTerminologyDatabase/Harmonized_Terminolo.htm) Проекты: ISO 20776-1, ISO 20776-2
SYN-R 	Sinergiyaga chidamli	Устойчивый к синергии	Synergy - resistant	Категория для изолятов, где бактерии (например, энтерококки) не восприимчивы in vitro к комбинированной терапии (например, аминогликозид высокого уровня и активный агент клеточной стенки). Это прогнозирует, что эта комбинированная терапия не будет эффективной.
S 	Ta’sirchan	Восприимчивый	Susceptible	Бактериальный штамм, ингибируемый in vitro концентрацией антимикробного агента, которая связана с высокой вероятностью терапевтического успеха. Ссылка: CLSI (http://www.clsi.org/Content/NavigationMenu/Resources/HarmonizedTerminologyDatabase/Harmonized_Terminolo.htm) Синоним (более ранний термин): Sensitive Projects: ISO 20776-1, ISO 20776-2
