Code	UZ	RU (SNOMED CT)	EN
 272394005 		Техника	Technique
  58207001 		Конкурентный анализ связывания белков	Competitive protein binding assay
  115341008 		Общее измерение	Total measurement
  246363001 		Техника получения	Acquisition technique
  246502009 		Техника наполнения мочевого пузыря	Bladder filling technique
  246503004 		Техника перемещения катетера	Catheter movement technique
  246504005 		Техника чтения вблизи	Near reading technique
  246505006 		Метод обнаружения фотонов	Photon detection technique
  246506007 		Техника провокации	Provocation technique
  246507003 		Методика стимуляции	Stimulation technique
  255459008 		Вспышка	Flash
  255463001 		Техника одиночной тетании	Single tetany technique
  255583002 		Техника ретрузионного соотношения челюстей	Retruded jaw relation technique
  256233002 		Ректально вводимый солевой раствор	Rectally infused saline solution
  257425005 		Светлое поле	Bright field
  257428007 		Техника вмятинного рукава	Dent sleeve technique
  257452000 		Сбиса бар	Sbisa bar
  257456002 		Техника сплошной сферы	Solid sphere technique
  257460004 		Развернутые полосы пространственной частоты	Swept spatial frequency bars
  257465009 		Техника восковых пластин	Wax wafer technique
  257740006 		Техника продвижения VY	V-Y advancement technique
  257771002 		Цементирование	Cementing
  257772009 		Цементирование цементом нормальной вязкости	Cementing with normal viscosity cement
  257774005 		Цементирование цементом низкой вязкости	Cementing with low viscosity cement
  257775006 		Цементирование цементом нормальной вязкости, содержащим антибиотик	Cementing with normal viscosity cement containing antibiotic
  257776007 		Цементирование цементом низкой вязкости, содержащим антибиотик	Cementing with low viscosity cement containing antibiotic
  257827009 		Фиксация компонентов методом прессовой посадки	Press-fit component fixation
  257932009 		Техника прямого наложения швов	Direct suturing technique
  258005004 		Акселерометрия	Accelerometry
  258006003 		Ацидометрический метод	Acidometric method
  258009005 		Методика камеры Бойдена	Boyden chamber technique
  258010000 		Манометрия кончика катетера	Catheter tip manometry
  258011001 		Метод шахматной доски	Chessboard method
  258012008 		Конфокальная лазерная сканирующая флуоресценция	Confocal laser scanning fluorescence
  258013003 		Обычная манометрия	Conventional manometry
  258014009 		Разбавление и колориметрия	Dilution and colorimetry
  258017002 		Тест на разбавление красителя двойным отбором проб	Double sampling dye-dilution test
  258018007 		Измерение дренажной бутылки	Drainage bottle measurement
  258019004 		Измерение дренажа	Drainage measurement
  258020005 		Метод разбавления красителя	Dye dilution technique
  258021009 		Тест на краску	Dye test
  258025000 		Ферментно-опосредованный иммунотрансферазный анализ	Enzyme-mediated immunotransferase assay
  258026004 		Ферментный метод	Enzyme method
  258027008 		Метод уравновешивания	Equilibration method
  258030001 		Метод градиента	Gradient method
  258031002 		Техника одинарного дыхания гелием	Helium single breath technique
  258033004 		Метод стационарного состояния гелия	Helium steady state technique
  258034005 		Разбавление гелия	Helium dilution
  258035006 		Жидкостная хроматография высокого давления	High pressure liquid chromatography
  258036007 		Иммуноблоттинг	Immunoblotting
  258037003 		Иммунорадиометрия	Immunoradiometry
  258038008 		Метод разбавления индикатора	Indicator dilution technique
  258039000 		Иодометрический метод	Iodometric method
  258041004 		Изоферментное типирование	Isoenzyme typing
  258044007 		Лектин типирование	Lectin typing
  258045008 		Липополисахаридное типирование	Lipopolysaccharide typing
  258048005 		Микробиологический метод	Microbiological method
  258054006 		Натуральная начинка	Natural filling
  258055007 		Метод нитроцефина	Nitrocefin method
  258056008 		Вымывание азота	Nitrogen washout
  258059001 		Фармакологическая стимуляция	Pharmacological stimulation
  258060006 		Фенотипирование	Phenotyping
  258063008 		Пневматическая отоскопия	Pneumatic otoscopy
  258065001 		Осаждение полиэтиленгликолем	Polyethylene glycol precipitation
  258066000 		Полимеразная цепная реакция	Polymerase chain reaction
  258067009 		Посттетаническая стимуляция счета	Post-tetanic count stimulation
  258068004 		Профилирование белков	Protein profiling
  258069007 		Пиролизная масс-спектрометрия	Pyrolysis mass spectrometry
  258070008 		Быстрое протягивание	Rapid-pull through
  258071007 		Метод реверсивного дыхания	Rebreathing method
  258075003 		Серотипирование	Serotyping
  258076002 		Методика фиктивного кормления	Sham feed technique
  258077006 		Методика Шеридана Гардинера	Sheridan Gardiner technique
  258078001 		Станция вытягивания	Station pull-through
  258080007 		Метод термодилюции	Thermodilution technique
  258081006 		Поглощение ультрафиолета	Ultraviolet absorption
  258082004 		Анализ векторного объема	Vector volume analysis
  258083009 		Визуальная оценка	Visual estimation
  258084003 		Взвешивание тампонов	Weighing of swabs
  258086001 		Типирование зимодема	Zymodeme typing
  258087005 		Разбавление агара	Agar dilution
  258094008 		Темная земля	Dark ground
  258099003 		Флуоресценция	Fluorescence
  258100006 		Метод гетерофории	Heterophoria method
  258102003 		Техника прерывистого отнятия	Intermittent withdrawal technique
