CODE	UZ	RU	EN
registered	Registratsiya qilingan	Зарегистрирован	Registered
specimen-in-process	Namuna tayyorlanmoqda	Образец в процессе обработки	Specimen-in-Process
preliminary	Dastlabki	Предварительный	Preliminary
final	Final	Финал	Final
amended	O‘zgartirildi	Изменено	Amended
corrected	To‘g‘rilangan	Исправлено	Corrected
appended	Biriktirildi	Прилагается	Appended
cancelled	Bekor qilingan	Отменено	Cancelled
entered-in-error	Xato bilan kiritilgan	Введено с ошибкой	Entered in Error
unknown	Noma'lum	Неизвестный	Unknown
cannot-be-obtained	Olinishi mumkin emas	Не может быть получен	Cannot be obtained
