CODE	UZ	RU	EN
1111	Rahbarlar. Qonun chiqaruvchilar, yuqori mansabdor shaxslar va boshqaruvchilar. Qonun chiqaruvchilar va yuqori mansabdor shaxslar. Qonun chiqaruvchilar	Лидеры. Законодатели, высшие должностные лица и менеджеры. Законодатели и высшие должностные лица Законодатели	Leaders. Legislators, top officials and managers. Legislators and top officials. Legislators
1111.1	Davlat hakami 	Арбитр Государственный 	Arbitrator State 
1111.2	Oʼzbekiston Respublikasi Bosh prokurori 	Генеральный прокурор Республики Узбекистан 	Prosecutor General of the Republic of Uzbekistan 
1111.3	Oliy Majlis Qonunchilik palatasi Deputati (Oliy Majlis Deputati) 	Депутат Законодательной палаты Олий Мажлиса (Депутат Олий Мажлиса) 	Deputy of the Legislative Chamber of Oliy Majlis (Deputy of Oliy Majlis) 
1111.4	Oʼzbekiston Respublikasi Oliy Majlis Qonunchilik palatasi Jamoat fondi direktori 	Директор Общественного фонда Законодательной палаты Олий Мажлиса Республики Узбекистан 	Director of the Public Fund of the Legislative Chamber of the Oliy Majlis of the Republic of Uzbekistan 
1111.5	Oliy Majlis Senati apparati boʼlim mudiri 	Заведующий отделом аппарата Сената Олий Мажлиса 	Head of the Department of the Senate Oliy Majlis 
1111.6	Oʼzbekiston Respublikasi Oliy Majlisi Senati Raisi kotibiyati mudiri 	Заведующий Секретариатом Председателя Сената Олий Мажлиса Республики Узбекистан 	Head of the Secretariat of the President of the Senate of the Oliy Majlis of the Republic of Uzbekistan 
1111.7	Oʼzbekiston Respublikasi Bosh prokurori oʼrinbosari 	Заместитель Генерального прокурора Республики Узбекистан 	Deputy Prosecutor General of the Republic of Uzbekistan 
1111.8	Oliy Majlisi Senati apparati boʼlim mudiri oʼrinbosari 	Заместитель заведующего отделом аппарата Сената Олий Мажлиса 	Deputy Chief of the Senate Office of Oliy Majlis 
1111.9	Oliy sud raisi oʼrinbosari 	Заместитель председателя Верховного суда 	Deputy Chief Justice 
1111.10	Oliy xoʼjalik sudi raisi oʼrinbosari 	Заместитель председателя Высшего хозяйственного суда 	Deputy President of the Supreme Court of Economic Affairs 
1111.11	Joʼqorgʼi Kenges raisi oʼrinbosari 	Заместитель председателя Жокаргы Кенеса 	Deputy Chairman of the Jokargi Kenez 
1111.12	Oliy Majlis Senati qoʼmitasi (komissiyasi) raisi oʼrinbosari 	Заместитель председателя комитета (комиссии) Сената Олий Мажлиса 	Deputy Chairman of the Senate Committee (Commission) of the Oliy Majlis 
1111.13	Oliy Majlis Qonunchilik palatasi qoʼmitasi raisi oʼrinbosari 	Заместитель председателя комитета Законодательной палаты Олий Мажлиса 	Deputy Chairman of the Legislative Chamber of Oliy Majlis 
1111.14	Oliy Majlis raisi oʼrinbosari 	Заместитель председателя Олий Мажлиса 	Deputy Chairman of Oliy Majlis 
1111.15	Oliy Majlis Senati raisi oʼrinbosari 	Заместитель председателя Сената Олий Мажлиса 	Deputy Chairman of the Senate of Oliy Majlis 
1111.16	Sud raisi oʼrinbosari 	Заместитель председателя суда 	Deputy President of the Court 
1111.17	Markaziy saylov komissiyasi raisi oʼrinbosari	Заместитель Председателя Центральной избирательной комиссии	Deputy Chairman of the Central Election Commission
1111.18	Prokuror oʼrinbosari 	Заместитель прокурора 	Deputy prosecutor 
1111.19	Oʼzbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi apparati rahbari oʼrinbosari 	Заместитель руководителя аппарата Законодательной палаты Олий Мажлиса Республики Узбекистан 	Deputy Chief of Staff of the Legislative Chamber of the Oliy Majlis of the Republic of Uzbekistan 
1111.20	Oʼzbekiston Respublikasi Oliy Majlisi Senati apparati rahbari oʼrinbosari 	Заместитель руководителя аппарата Сената Олий Мажлиса Республики Узбекистан 	Deputy Chief of Staff of the Senate of the Oliy Majlis of the Republic of Uzbekistan 
1111.21	Oliy Majlis Qonunchilik palatasi Spikerining oʼrinbosari 	Заместитель Спикера законодательной палаты Олий Мажлиса 	Deputy Speaker of the Legislative Chamber of Oliy Majlis 
1111.22	Oʼzbekiston Respublikasi Oliy Majlisining Inson huquqlari boʼyicha vakili (Ombudsman) kotibiyati maslahatchisi 	Консультант Секретариата Уполномоченного Олий Мажлиса Республики Узбекистан по правам человека (омбудсмана) 	Adviser to the Secretariat of the Ombudsman (Ombudsmen) 
1111.23	Ombudsman 	Омбудсман 	Ombudsman 
1111.24	Oʼzbekiston Respublikasi Oliy Majlisi Qonunchilik palatasi jamoat fondi masʼul kotibi 	Ответственный секретарь общественного фонда Законодательной палаты Олий Мажлиса Республики Узбекистан 	Responsible secretary of the public fund of the Legislative Chamber of the Oliy Majlis of the Republic of Uzbekistan 
1111.25	Oʼzbekiston Respublikasi Bosh prokurorining birinchi oʼrinbosari 	Первый заместитель Генерального прокурора Республики Узбекистан 	First Deputy Prosecutor General of the Republic of Uzbekistan 
1111.26	Joʼqorgʼi Kenges raisining birinchi oʼrinbosari 	Первый заместитель председателя Жокаргы Кенеса 	First Deputy Chairman Jokargi Kenez 
1111.27	Prokurorning birinchi oʼrinbosari (tuman, shahar, viloyat) 	Первый заместитель прокурора (района, города, области) 	Deputy Chief Prosecutor (district, city, region) 
1111.28	Bosh prokuror yordamchisi 	Помощник Генерального прокурора 	Assistant Attorney General 
1111.29	Oliy sud raisi oʼrinbosari yordamchisi 	Помощник заместителя председателя Верховного суда 	Assistant Deputy Chief Justice 
