CODE	UZ	RU	EN
408467006	Katta yoshdagi ruhiy kasallik	Психические заболевания у взрослых	Adult mental illness
394577000	Anestetiklar	Анестетики	Anesthetics
394578005	Audiologik tibbiyot	Аудиологическая медицина	Audiological medicine
421661004	Qon banki va qon quyish tibbiyoti	Банк крови и переливание крови	Blood banking and transfusion medicine
408462000	Kuyishlarga g'amxo'rlik qilish	Уход за ожогами	Burns care
394579002	Kardiologiya	Кардиология	Cardiology
394804000	Klinik sitogenetika va molekulyar genetika	Клиническая цитогенетика и молекулярная генетика	Clinical cytogenetics and molecular genetics
394580004	Klinik genetika	Клиническая генетика	Clinical genetics
394803006	Klinik gematologiya	Клиническая гематология	Clinical hematology
408480009	Klinik immunologiya	Клиническая иммунология	Clinical immunology
408454008	Klinik mikrobiologiya	Клиническая микробиология	Clinical microbiology
394809005	Klinik neyrofiziologiya	Клиническая нейрофизиология	Clinical neuro-physiology
394592004	Klinik onkologiya	Клиническая онкология	Clinical oncology
394600006	Klinik farmakologiya	Клиническая фармакология	Clinical pharmacology
394601005	Klinik fiziologiya	Клиническая физиология	Clinical physiology
394581000	Jamoat tibbiyoti	Общественная медицина	Community medicine
408478003	Jiddiy tibbiy yordam	Интенсивная медицина	Critical care medicine
394812008	Stomatologiya mutaxassisliklari	Стоматологические специальности	Dental medicine specialties
408444009	Dental-Umumiy stomatologiya amaliyoti	Стоматология-Общая стоматологическая практика	Dental-General dental practice
394582007	Dermatologiya	Дерматология	Dermatology
408475000	Qandli diabetga qarshi dori	Лекарства от диабета	Diabetic medicine
394583002	Endokrinologiya	Эндокринология	Endocrinology
419772000	Oila amaliyoti	Семейная практика	Family practice
394584008	Gastroenterologiya	Гастроэнтерология	Gastroenterology
408443003	Umumiy tibbiy amaliyot	Общая врачебная практика	General medical practice
394802001	Umumiy tibbiyot	Общая медицина	General medicine
394915009	Umumiy patologiya	Общая патология	General pathology
394814009	Umumiy amaliyot	Общая практика	General practice
394808002	Genito-siydik yo'llari tibbiyoti	Медицина мочеполовой системы	Genito-urinary medicine
394811001	Geriatrik tibbiyot	Гериатрическая медицина	Geriatric medicine
408446006	Ginekologik onkologiya	Гинекологическая онкология	Gynecological oncology
394586005	Ginekologiya	Гинекология	Gynecology
394916005	Gematopatologiya	Гематопатология	Hematopathology
408472002	Gepatologiya	Гепатология	Hepatology
394597005	Gistopatologiya	Гистопатология	Histopathology
394598000	Immunopatologiya	Иммунопатология	Immunopathology
394807007	Yuqumli kasalliklar	Инфекционные заболевания	Infectious diseases
419192003	Ichki kasalliklar	Внутренняя медицина	Internal medicine
408468001	O'rganishdagi nuqson	Нарушение обучаемости	Learning disability
394593009	Tibbiy onkologiya	Медицинская онкология	Medical oncology
394813003	Tibbiy oftalmologiya	Медицинская офтальмология	Medical ophthalmology
410001006	Harbiy tibbiyot	Военная медицина	Military medicine
394589003	Nefrologiya	Нефрология	Nephrology
394591006	Nevrologiya	Неврология	Neurology
394599008	Neyropatologiya	Невропатология	Neuropathology
394649004	Yadro tibbiyoti	Ядерная медицина	Nuclear medicine
408470005	Akusherlik	Акушерство	Obstetrics
394585009	Akusherlik va ginekologiya	Акушерство и гинекология	Obstetrics and gynecology
394821009	Kasbiy tibbiyot	Медицина труда	Occupational medicine
422191005	Oftalmik jarrohlik	Офтальмологическая хирургия	Ophthalmic surgery
394594003	Oftalmologiya	Офтальмология	Ophthalmology
416304004	Osteopatik manipulyativ tibbiyot	Остеопатическая манипулятивная медицина	Osteopathic manipulative medicine
418960008	Otolaringologiya	Отоларингология	Otolaryngology
394882004	Og'riqni boshqarish	Лечение боли	Pain management
394806003	Palliativ tibbiyot	Паллиативная медицина	Palliative medicine
39458800	Pediatriya (bolalar va o'smirlar) psixiatriyasi	Детская и подростковая психиатрия	Pediatric (Child and adolescent) psychiatry
408459003	Bolalar kardiologiyasi	Детская кардиология	Pediatric cardiology
394607009	Bolalar stomatologiyasi	Детская стоматология	Pediatric dentistry
419610006	Bolalar endokrinologiyasi	Детская эндокринология	Pediatric endocrinology
418058008	Bolalar gastroenterologiyasi	Детская гастроэнтерология	Pediatric gastroenterology
420208008	Bolalar genetikasi	Детская генетика	Pediatric genetics
418652005	Bolalar gematologiyasi	Детская гематология	Pediatric hematology
418535003	Bolalar immunologiyasi	Детская иммунология	Pediatric immunology
418862001	Bolalar yuqumli kasalliklari	Детские инфекционные заболевания	Pediatric infectious diseases
419365004	Bolalar nefrologiyasi	Детская нефрология	Pediatric nephrology
418002000	Bolalar onkologiyasi	Детская онкология	Pediatric oncology
419983000	Bolalar oftalmologiyasi	Детская офтальмология	Pediatric ophthalmology
419170002	Bolalar pulmonologiyasi	Детская пульмонология	Pediatric pulmonology
419472004	Bolalar revmatologiyasi	Детская ревматология	Pediatric rheumatology
394539006	Bolalar jarrohligi	Детская хирургия	Pediatric surgery
420112009	Bolalar jarrohligi - suyak iligi transplantatsiyasi	Детская хирургия-трансплантация костного мозга	Pediatric surgery-bone marrow transplantation
409968004	Profilaktik tibbiyot	Профилактическая медицина	Preventive medicine
394587001	Psixiatriya	Психиатрия	Psychiatry
394913002	Psixoterapiya	Психотерапия	Psychotherapy
408440000	Jamoat salomatligi tibbiyoti	Медицина общественного здравоохранения	Public health medicine
418112009	O'pka tibbiyoti	Легочная медицина	Pulmonary medicine
419815003	Radiatsion onkologiya	Радиационная онкология	Radiation oncology
394914008	Radiologiya	Радиология	Radiology
408455009	Radiologiya - Interventsion radiologiya	Радиология-Интервенционная радиология	Radiology-Interventional radiology
394602003	Reabilitatsiya	Реабилитация	Rehabilitation
408447002	Vaqtinchalik parvarish	Временный уход	Respite care
394810000	Revmatologiya	Ревматология	Rheumatology
408450004	Uyquni o'rganish	Исследования сна	Sleep studies
408476004	Jarrohlik - suyak va ilik transplantatsiyasi	Хирургия-Трансплантация костного мозга и костей	Surgery-Bone and marrow transplantation
408469009	Jarrohlik - Ko'krak jarrohligi	Хирургия-Хирургия груди	Surgery-Breast surgery
408466002	Jarrohlik - yurak jarrohligi	Хирургия-Кардиохирургия	Surgery-Cardiac surgery
408471009	Jarrohlik - kardiotorakal transplantatsiya	Хирургия-кардиоторакальная трансплантация	Surgery-Cardiothoracic transplantation
