CODE	UZ	RU	EN
1342	Sog‘liqni saqlash sohasida tibbiy xizmat ko‘rsatishda bo‘lim boshliqlari	Руководители подразделений по оказанию медицинских услуг в сфере здравоохранения	Heads of departments in the provision of medical services in the healthcare sector
1342.1	Bosh hamshira 	Главная медицинская сестра 	Chief medical nurse 
1342.2	Bosh okulist 	Главный окулист 	Chief eye specialist 
1342.3	Bosh optik 	Главный оптик 	Chief Optician 
1342.4	Bosh mutaxassis-bakteriolog	Главный специалист-бактериолог	Chief bacteriologist
1342.5	Bosh mutaxassis-virusolog	Главный специалист-вирусолог	Chief Virologist
1342.6	Bosh mutaxassis-gerbolog	Главный специалист-герболог	Chief Herbalist
1342.7	Bosh mutaxassis-mikolog	Главный специалист-миколог	Chief Mycologist
1342.8	Bosh mutaxassis-entomolog	Главный специалист-энтомолог	Chief Entomologist
1342.9	Bosh terapevt 	Главный терапевт 	General practitioner 
1342.10	Tibbiy-mehnat ekspertizasi boʼyicha bosh ekspert 	Главный эксперт по врачебно-трудовой экспертизе 	Chief expert in occupational medicine 
1342.11	Bosh epidemiolog 	Главный эпидемиолог 	Chief epidemiologist 
1342.12	Аmbulatoriya (klinika, poliklinika) mudiri 	Заведующий амбулаторией (клиникой, поликлиникой) 	Head of the clinic (clinic, polyclinic) 
1342.13	Balьneologiya boʼlinmasi mudiri 	Заведующий бальнеологическим отделением 	Head of the Balneology Department 
1342.14	Vrachlik boʼlinmasi (kabineti) mudiri 	Заведующий врачебным отделением (кабинетом) 	Head of the medical department (office) 
1342.15	Tibbiy punkt mudiri 	Заведующий здравпунктом 	Health Point Manager 
1342.16	Tibbiy-sanitariya qismi (klinika) mudiri 	Заведующий медико-санитарной частью (клиникой) 	Head of the medical and health department (clinic) 
1342.17	Tibbiyot punkti (konsulьtatsiya) mudiri	Заведующий медицинским пунктом (консультацией) 	Head of medical department (consulting) 
1342.18	Boʼlinma (sogʼliqni saqlash muassasalari) mudiri 	Заведующий отделением (учреждении здравоохранения) 	Head of department (health institution) 
1342.19	Sanitariya oʼtish joyi mudiri 	Заведующий санпропускником 	Chief of the Sanatorium 
1342.20	Korxona tibbiy-sanitariya boʼlimi boshligʼi 	Начальник медико-санитарного отдела предприятия 	Head of the company’s health and medical department 
1342.21	Tibbiy-sanitariya qismi boshligʼi 	Начальник медико-санитарной части 	Chief of the Medical Department 
1342.22	Profilaktoriya boshligʼi 	Начальник профилактория 	Head of Profiling 
1343	Keksalarni parvarish qilish sohasida bo‘limlari rahbarlari	Руководители отделений в сфере ухода за пожилыми людьми	Heads of departments in the field of elderly care
1343.1	Ijtimoiy xizmat muassasasi boʼlinma mudiri 	Заведующий отделением учреждения социального обслуживания 	Head of the social services department 
