CODE	UZ	RU	EN
2211	Sog‘liqni saqlash sohasida professional-mutaxassislar.  Vrachlar.  Umumiy amaliyot vrachlari 	Медицинские работники. Врачи. Врачи общей практики	Healthcare professionals. Doctors. General practitioners
2211.1	Umumiy amaliyot vrachi 	Врач общей практики 	General practitioner 
2211.2	Bolalar umumiy vrachi 	Врач общий педиатр 	Pediatrician 
2211.3	Onkologiya umumiy vrachi 	Врач онколог общий 	General oncologist 
2211.4	Umumiy onkolog (onkologik boʼlmagan statsionarlarda maslahatchi shifokor sifatida) 	Врач онколог общий (предусмотрена в не онкологических стационарных учреждениях в качестве врача консультанта) 	General oncologist (in non-oncology hospital as a consultant doctor) 
2211.5	Vrach-intern 	Врач-интерн 	Resident 
2211.6	Vrach-mutaxassis 	Врач-специалист 	Medical specialist 
2211.7	Kichik ilmiy xodim 	Младший научный сотрудник 	Associate researcher 
2211.8	Ilmiy xodim 	Научный сотрудник 	Research associate 
2211.9	Аmbulator-poliklinika boʼyicha vrach yordamchisi 	Помощник врача по амбулаторно-поликлинической помощи 	Assistant doctor for outpatient polyclinic 
2211.10	Umumiy gigiena boʼyicha vrach 	Санитарный врач по общей гигиене 	General Health Officer 
2211.11	Tajriba ottiruvchi kichik ilmiy xodim 	Стажер младшего научного сотрудника 	Junior Research Fellow 
2211.12	Katta ilmiy xodim 	Старший научный сотрудник 	Senior research associate 
2212	Vrach-mutaxasislar 	Медицинские специалисты	Medical specialists
2212.1	Аnesteziolog 	Анестезиолог 	Anesthesiologist 
2212.2	Аbdominal boʼyicha vrach onkoxirurg 	Врач абдоминальный онкохирург 	Abdominal cancer surgeon 
2212.3	Аbdominal boʼyicha vrach onkoxirurg (ixtisoslashgan muassasalarda) 	Врач абдоминальный хирург (в специализированных учреждениях) 	Doctor of abdominal surgery (in specialized institutions) 
2212.4	Vrach allergolog-immunolog 	Врач аллерголог-иммунолог 	Physician Immunologist 
2212.5	Vrach anesteziolog-reanimatolog 	Врач анестезиолог-реаниматолог 	Anesthesiologist-RCM 
2212.6	Vrach bakteriolog 	Врач бактериолог 	Bacteriologist 
