CODE	UZ	RU	EN
  PN	Ilg'or amaliyot hamshirasi	Медсестра высшей квалификации	Advanced Practice Nurse
  AAS	Amaliy fanlar dotsenti	Младший специалист по прикладным наукам	Associate of Applied Science
  AA	San'at assotsiatsiyasi	Младший специалист по гуманитарным наукам	Associate of Arts
  ABA	Biznes boshqaruvi assotsiatsiyasi	Младший специалист по деловому администрированию	Associate of Business Administration
  AE	Muhandislik dotsenti	Младший специалист по инженерии	Associate of Engineering
  AS	Fanlar dotsenti	Младший специалист по наукам	Associate of Science
  BA	San'at bakalavri	Бакалавр гуманитарных наук	Bachelor of Arts
  BBA	Biznes boshqaruvi bakalavri	Бакалавр делового администрирования	Bachelor of Business Administration
  BE	Bakalavr yoki muhandislik	Бакалавр или инженерия	Bachelor or Engineering
  BFA	Tasviriy san'at bakalavri	Бакалавр изящных искусств	Bachelor of Fine Arts
  BN	Hamshiralik ishi bakalavri	Бакалавр сестринского дела	Bachelor of Nursing
  BS	fanlar bo'yicha bakalavr	Бакалавр наук	Bachelor of Science
  BSL	Fanlar bakalavri - huquq	Бакалавр наук - юриспруденция	Bachelor of Science - Law
  BSN	Fan bo'yicha bakalavr - Hamshiralik ishi	Бакалавр наук - сестринское дело	Bachelor on Science - Nursing
  BT	Ilohiyot bakalavri	Бакалавр теологии	Bachelor of Theology
  CER	Sertifikat	Сертификат	Certificate
  CANP	Sertifikatlangan kattalar hamshirasi	Сертифицированная медсестра для взрослых	Certified Adult Nurse Practitioner
  CMA	Sertifikatlangan tibbiy yordamchi	Сертифицированный помощник врача	Certified Medical Assistant
  CNP	Sertifikatlangan hamshira amaliyotchisi	Сертифицированная медсестра-практик	Certified Nurse Practitioner
  CNM	Sertifikatlangan hamshira doya	Сертифицированная медсестра-акушерка	Certified Nurse Midwife
  CRN	Sertifikatlangan ro'yxatdan o'tgan hamshira	Сертифицированная зарегистрированная медсестра	Certified Registered Nurse
  CNS	Sertifikatlangan hamshira mutaxassisi	Сертифицированный специалист по медсестре	Certified Nurse Specialist
  CPNP	Sertifikatlangan pediatriya hamshirasi	Сертифицированная детская медсестра-практик	Certified Pediatric Nurse Practitioner
  CTR	Sertifikatlangan o'smalarni ro'yxatga oluvchi	Сертифицированный регистратор опухолей	Certified Tumor Registrar
  DIP	Diplom	Диплом	Diploma
  DBA	Biznes boshqaruvi doktori	Доктор делового администрирования	Doctor of Business Administration
  DED	Taʼlim fanlari doktori	Доктор образования	Doctor of Education
  PharmD	Farmatsevtika fanlari doktori	Доктор фармацевтики	Doctor of Pharmacy
  PHE	Muhandislik fanlari doktori	Доктор инженерии	Doctor of Engineering
  PHD	Falsafa fanlari doktori	Доктор философии	Doctor of Philosophy
  PHS	Fan doktori	Доктор наук	Doctor of Science
  MD	Tibbiyot fanlari doktori	Доктор медицины	Doctor of Medicine
  DO	Osteopatiya doktori	Доктор Остеопатия	Doctor of Osteopathy
  EMT	Shoshilinch tibbiy yordam bo'yicha mutaxassis	Специалист скорой медицинской помощи	Emergency Medical Technician
  EMTP	Shoshilinch tibbiy yordam bo'yicha texnik - feldsher	Специалист скорой медицинской помощи - фельдшер	Emergency Medical Technician - Paramedic
  FPNP	Oilaviy amaliyot hamshirasi	Семейная медсестра	Family Practice Nurse Practitioner
  HS	Oliy maktab bitiruvchisi	Выпускник средней школы	High School Graduate
  JD	Yuris doktori	Доктор юриспруденции	Juris Doctor
  MA	Sanʼat magistri	Магистр гуманитарных наук	Master of Arts
  MBA	Biznes boshqaruvi magistri	Магистр делового администрирования	Master of Business Administration
  MCE	Qurilish muhandisligi magistri	Магистр гражданского строительства	Master of Civil Engineering
  MDI	Ilohiylik ustasi	Магистр богословия	Master of Divinity
  MED	Taʼlim magistri	Магистр образования	Master of Education
  MEE	Elektr texnikasi magistri	Магистр электротехники	Master of Electrical Engineering
  ME	Muhandislik magistri	Магистр инженерии	Master of Engineering
  MFA	Tasviriy san'at magistri	Магистр изящных искусств	Master of Fine Arts
  MME	Mashina muhandisligi magistri	Магистр машиностроения	Master of Mechanical Engineering
  MS	Fanlar magistri	Магистр наук	Master of Science
  MSL	Fanlar magistri - huquq	Магистр наук - право	Master of Science - Law
  MSN	Fan magistri – hamshiralik ishi	Магистр наук - сестринское дело	Master of Science - Nursing
  MTH	Ilohiyot magistri	Магистр теологии	Master of Theology
  MDA	Tibbiy yordamchi	Помощник врача	Medical Assistant
  MT	Tibbiyot texnik	Медицинский техник	Medical Technician
  NG	Bitirmagan	Без высшего образования	Non-Graduate
  NP	Amaliyotchi hamshira	Практикующая медсестра	Nurse Practitioner
  PA	Shifokor yordamchisi	Помощник врача	Physician Assistant
  RMA	Ro'yxatdan o'tgan tibbiy yordamchi	Зарегистрированный помощник врача	Registered Medical Assistant
  RN	Ro'yxatdan o'tgan hamshira	Зарегистрированная медсестра	Registered Nurse
  RPH	Ro'yxatdan o'tgan farmatsevt	Зарегистрированный фармацевт	Registered Pharmacist
  SEC	Kotiblik guvohnomasi	Сертификат секретаря	Secretarial Certificate
  TS	Savdo maktabi bitiruvchisi	Выпускник профессионального училища	Trade School Graduate
