CODE	UZ	RU	EN
Код СОАТО	Ob’yektning nomi	Наименование объекта																							
17	O‘zbekiston Respublikasi	Республика Узбекистан	
1703	Andijon viloyati (Markaz -Andijon sh.)	Андижанская область (Центр -г. Андижан )	
1703200	Andijon viloyatining tumanlari	Районы Андижанской области	
1703202	Oltinko‘l tumani (Markaz -Oltinko‘l a.p.)	Алтынкульский район (Центр - нп Алтынкуль)	
1703202550	Oltinko‘l tumanining shaharchalari	Городские поселки Алтынкульского района	
1703202552	Bo‘ston	Бустон	
1703202554	Dalvarzin	Далварзин	
1703202556	Jalabek	Жалабек	
1703202558	Ijtimoiyat	Ижтимоият	
1703202562	Kumakay	Кумакай	
1703202564	Qo‘shtepa	Куштепа	
1703202566	Madaniy mehnat	Маданий мехнат	
1703202568	Markaz	Марказ	
1703202572	Maslahat	Маслахат	
1703202574	Namuna	Намуна	
1703202576	Xondibog‘i	Хондибоги	
1703202800	Oltinko‘l tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Алтынкульского района	
1703202804	Oltinko‘l	Алтынкуль	
1703202807	Oxunboboyev nomli	им. Ахунбабаева	
1703202813	Jalabek	Джалабек	
1703202820	Qo‘shtepasaroy	Коштепасарай	
1703202825	Kumakay	Кумакай	
1703202830	Maslahat	Маслахат	
1703202834	Oraziy	им. Орази	
1703202840	Suvyulduz	Сувюлдуз	
1703203	Andijon tumani (Markaz -Kuyganyor shaharchasi)	Андижанский район ( Центр - гп Куйганяр)	
1703203550	Andijon tumanining shaharchalari	Городские поселки Андижанского района	
1703203551	Kuyganyor	Куйган - яр	
1703203553	Ayrilish	Айрилиш	
1703203555	Butaqora	Бутакора	
1703203557	Guliston	Гулистон	
1703203559	Gumbaz	Гумбаз	
1703203561	Zavroq	Заврок	
1703203563	Qoraqalpoq	Каракалпак	
1703203567	Kunji	Кунжи	
1703203569	Qo‘shariq	Кушарик	
1703203571	Namuna	Намуна	
1703203573	Og‘ullik	Огуллик	
1703203575	Oq-yor	Ок-ер	
1703203577	Rovvot	Роввот	
1703203579	Xartum	Хартум	
1703203581	Chilon	Чилон	
1703203583	Chumbog‘ich	Чумбогич	
1703203585	Ekin tikin	Экин-тикин	
1703203587	Yangiobod	Янгиабад	
1703203589	Gulobod	Гулобод	
1703203800	Andijon tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Андижанского района	
1703203803	Oq-Yor	Ак-яр	
1703203813	Bo‘taqora	Бутакара	
1703203829	Qo‘nji	Кунджи	
1703203838	Nayman	Найман	
1703203849	Xakan	Хакан	
1703203863	Xrabek	Хирабек	
1703203866	Xartum	Хартум	
1703203874	Orol	Аpал	
1703203885	Yorboshi	Ярбаши	
1703206	Baliqchi tumani (Markaz -Baliqchi shaharchasi)	Балыкчинский район (Центр - гп Баликчи )	
1703206550	Baliqchi tumanining shaharchalari	Городские поселки Балыкчинского района	
1703206551	Baliqchi	Баликчи	
1703206554	Xo‘jaobod	Хужаабад	
1703206558	Chinobod markaz	Чинобод марказ	
1703206800	Baliqchi tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Балыкчинского района	
1703206803	Olimbek	Алимбек	
1703206807	Oxunboboyev nomli	им. Ахунбабаева	
1703206813	Baliqchi	Балыкчи	
1703206824	Guliston	Гулистан	
1703206831	Bo‘ston	Бустан	
1703206846	Siza	Сиза	
1703206857	O‘rmonbek	Урманбек	
1703206868	Xo‘jaobod	Ходжаабад	
1703206879	Eskixaqqulobod	Эски Хаккулабад	
1703209	Bo‘ston tumani (Markaz -Bo‘z shaharchasi)	Бустонский район (Центр - гп Боз)	
1703209550	Bo‘ston tumanining shaharchalari	Городские поселки Бустонского района	
1703209551	Bo‘z	Боз	
1703209555	M.Jalolov nomli	М.Жалолов	
1703209559	Xoldevonbek	Холдевонбек	
1703209800	Bo‘ston tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Бустонского района	
1703209811	Xoldevonbek	Халдеванбек	
1703209846	M.Jalolov nomli	им. М. Джалалова	
1703209857	Xovos	Хавас	
1703210	Buloqboshi tumani (Markaz -Buloqboshi shaharchasi)	Булакбашинский район (Центр - гп Булокбоши)	
1703210550	Buloqboshi tumanining shaharchalari	Городские поселки Булакбашинского района	
1703210551	Buloqboshi	Булокбоши	
1703210554	Andijon	Андижан	
1703210561	Uchtepa	Учтепа	
1703210564	Shirmonbuloq	Ширмонбулок	
1703210800	Buloqboshi tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Булакбашинского района	
1703210812	Buloqboshi	Булакбаши	
1703210832	Kulla	Кулла	
1703210838	Mayariq	Майарык	
1703210850	Nayman	Найман	
1703210894	Shirmonbuloq	Ширманбулак	
1703211	Jalaquduq tumani (Markaz -Jalaquduq sh.)	Жалакудукский район (Центр - г.Жалакудук)	
1703211500	Jalaquduq tumanining tuman ahamiyatiga ega shaharlari	Города районного подч. Жалакудукского района	
1703211501	Jalaquduq	Жалакудук	
1703211550	Jalaquduq tumanining shaharchalari	Городские поселки Жалакудукского района	
1703211554	Janubiy olamushuk	Южный Аламышик	
1703211556	Beshtol	Бештол	
1703211558	Yorqishloq	Еркишлок	
1703211562	Jalaquduq	Жалакудук	
1703211564	Ko‘kalam	Кукалам	
1703211566	Qo‘shtepa	Куштепа	
1703211568	Oyim	Ойим	
1703211800	Jalaquduq tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Жалакудукского района	
1703211804	Abdullabiy	Абдуллабий	
1703211807	Oyim	Аим	
1703211814	Beshtal	Бештал	
1703211818	Jalolquduq	Джалалкудук	
1703211824	Qatortol	Катартал	
1703211830	Guliston	Гулистан	
1703211834	Teshiktosh	Тешикташ	
1703211841	Yorqishloq	Яркишлак	
1703214	Izboskan tumani (Markaz -Paytug sh.)	Избасканский район (Центр - г.Пайтуг)	
1703214500	Izboskan tumanining tuman ahamiyatiga ega shaharlari	Города районного подчинения Избасканского района	
1703214501	Paytug	Пайтуг	
1703214550	Izboskan tumanining shaharchalari	Городские поселки Избасканского района	
1703214553	Gurkirov	Гуркиров	
1703214556	Maygir	Майгир	
1703214559	To‘rtko‘l	Турткул	
1703214563	Uzun ko‘cha	Узун куча	
1703214800	Izboskan tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Избасканского района	
1703214811	Izboskan	Избаскан	
1703214822	Maygir	Майгир	
1703214833	Namuna	Намуна	
1703214844	O‘rtoqlar	Уртаклар	
1703214855	Shermatobod	Шерматабад	
1703214860	Erkin	Эркин	
1703214866	Yangizamon	Янгизамон	
1703214877	Yangi qishloq	Янгикишлак	
1703214885	Yakkatut	Яккатут	
1703217	Ulug‘nor tumani (Markaz -Oq oltin shaharchasi)	Улугноpский район (Центр - гп Ок-олтин)	
1703217550	Ulug‘nor tumanining shaharchalari	Городские поселки Улугнарского района	
1703217551	Oq oltin	Ок-олтин	
1703217800	Ulug‘nor tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Улугноpского района	
1703217810	Oq oltin	Акалтын	
1703217815	Mingchinor	Мингчинаp	
1703217820	Mingbuloq	Мингбулак	
1703217830	Navoiy nomli	им. Навои	
1703220	Qo‘rg‘ontepa tumani (Markaz -Qo‘rg‘ontepa sh.)	Кургантепинский район (Центр - г.Кургантепа)	
1703220500	Qo‘rg‘ontepa tumanining tuman ahamiyatiga ega shaharlari	Города районного подч. Кургантепинского района	
1703220501	Qo‘rg‘ontepa	Кургантепа	
1703220505	Qorasuv	Карасу	
1703220550	Qo‘rg‘ontepa tumanining shaharchalari	Городские поселки Кургантепинского района	
1703220553	Sultonobod	Султонабад	
1703220800	Qo‘rg‘ontepa tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Кургантепинского района	
1703220813	Dardok	Дардак	
1703220836	Qo‘rg‘ontepa	Кургантепа	
1703220847	Savay	Савай	
1703220858	Sultonobod	Султанабад	
1703220872	Chimyon	Чимион	
1703224	Asaka tumani (Markaz -Asaka sh.)	Асакинский район (Центр - г.Асака)	
1703224500	Asaka tumanining tuman ahamiyatiga ega shaharlari	Города районного подч. Асакинского района	
1703224501	Asaka	Асака	
1703224550	Asaka tumanining shaharchalari	Городские поселки Асакинского района	
1703224552	Kujgan	Кужган	
1703224554	Navkan	Навкан	
1703224556	Oqbo‘yra	Окбуйра	
1703224558	T.Aliyev	Т.Алиев	
1703224800	Asaka tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Асакинского района	
1703224811	Zarbdor	Зарбдар	
1703224822	Ilg‘or	Илгар	
1703224833	Qoratepa	Каpатепа	
1703224844	Kujgan	Кужган	
1703224855	Qadim	Кадим	
1703224866	Mustahkam	Мустахкам	
1703224877	O‘zbekiston	Узбекистан	
1703224885	Niyozbotir	Ниязбатыр	
1703227	Marxamat tumani (Markaz -Marxamat sh.)	Мархаматский район (Центр -г.Мархамат)	
1703227500	Marxamat tumanining tuman ahamiyatiga ega shaharlari	Города районного подчинения Мархаматского района	
1703227501	Marxamat	Мархамат	
1703227550	Marxamat tumanining shaharchalari	Городские поселки Мархаматского района	
1703227554	Polvontosh	Палванташ	
1703227557	Boboxuroson	Бобохуросон	
1703227561	Qorabog‘ish	Корабогиш	
1703227564	Qoraqo‘rg‘on	Коракургон	
1703227567	Ko‘tarma	Кутарма	
1703227571	Marxamat	Мархамат	
1703227574	Rovot	Ровот	
1703227577	O‘qchi	Укчи	
1703227581	Xakka	Хакка	
1703227584	Xo‘jaariq	Хужаарик	
1703227800	Marxamat tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Мархаматского района	
1703227811	Qoraqo‘rg‘on	Каракурган	
1703227816	Qorabog‘ish	Карабагиш	
1703227822	Ko‘tarma	Кутарма	
1703227833	Marxamat	Мархамат	
1703227855	Shukurmergan	Шукурмерган	
1703230	Shaxrixon tumani (Markaz -Shaxrixon sh.)	Шахриханский район (Центр -г.Шахрихан)	
1703230500	Shaxrixon tumanining tuman ahamiyatiga ega shaharlari	Города районного подчинения Шахриханского района	
1703230501	Shaxrixon	Шахрихан	
1703230550	Shaxrixon tumanining shaharchalari	Городские поселки Шахриханского района	
1703230552	Vaxim	Вахим	
1703230554	Cho‘ja	Чужа	
1703230556	Segaza kum	Сегаза кум	
1703230800	Shaxrixon tumanining qishloq fuqarolar yig‘inlari	Сельские сходы граждан Шахриханского района	
1703230811	Cho‘ja	Чужа	
1703230822	Naynavo	Найнава	
1703230826	Guliston	Гулистан	
1703230835	Paxtaobod	Пахтаабад	
1703230846	Toshtepa	Таштепа	
