CODE	UZ	RU	EN
1703202	Oltinko'l tumani	Алтынкульский район	Altinkul district
1703203	Andijon tumani	Андижанский район	Andijan district
1703206	Baliqchi tumani	Балыкчинский район	Baliqchi district
1703209	Bo'ston tumani	Бостонский район	Boston district
1703210	Buloqboshi tumani	Булокбошинский район	Buloqboshi district
1703211	Jalaquduq tumani	Джалакудукский район	Jalaquduk district
1703214	Izboskan tumani	Избосканский район	Izboskan district
1703217	Ulug'nor tumani	Улугнорский район	Ulug'nor district
1703220	Qo'rg'ontepa tumani	Коргонтепинский район	Korgontepa district
1703224	Asaka tumani	Асакинский район	Asaka district
1703227	Marhamat tumani	Мархаматский район	Marhamat district
1703230	Shahrixon tumani	Шахриханский район	Shahrikhan district
1703232	Paxtaobod tumani	Пахтаабадский район	Pakhtaobod district
1703236	Xo'jaobod tumani	Ходжаабадский район	Khojaobod district
1703401	Andijon shahri	город Андижан	Andijan city
1703408	Xonobod shahri	город Хонобад	Khonobod city
1706204	Olot tumani	Олотский район	Olot district
1706207	Buxoro tumani	Бухарский район	Bukhara district
1706212	Vobkent tumani	Вобкентский район	Vobkent district
1706215	G'ijduvon tumani	Гиждувонский район	Gijduvon district
1706219	Kogon tumani	Когонский район	Kogon district
1706230	Qorako'l tumani	Каракольский район	Qarakol district
1706232	Qorovulbozor tumani	Гаровулбазарский район	Qarovulbazar district
1706240	Peshku tumani	Пешкунский район	Peshku district
1706242	Romitan tumani	Ромитанский район	Romitan district
1706246	Jondor tumani	Джондорский район	Jondor district
1706258	Shofirkon tumani	Шофирконский район	Shofirkon district
1706401	Buxoro shahri	город Бухара	Bukhara city
1706403	Kogon shahri	город Каган	Kogon city
1708201	Arnasoy tumani	Арнасойский район	Arnasoy district
1708204	Baxmal tumani	Бахмальский район	Bakhmal district
1708209	G'allaorol tumani	Галлаорольский район	Gallaorol district
1708212	Sharof Rashidov tumani	Шароф Рашидовский район	Sharof Rashidov district
1708215	Do'stlik tumani	Дустликский район	Dustlik district
1708218	Zomin tumani	Зоминский район	Zomin district
1708220	Zarbdor tumani	Зарбдорский район	Zarbdor district
1708223	Mirzacho'l tumani	Мирзачольский район	Mirzachol district
1708225	Zafarobod tumani	Зафарабадский район	Zafarobod district
1708228	Paxtakor tumani	Пахтакорский район	Pakhtakor district
1708235	Forish tumani	Форишский район	Forish district
1708237	Yangiobod tumani	Янгиабадский район	Yangiabad district
1708401	Jizzax shahri	город Джизак	Jizzakh city
1710207	G'uzor tumani	Гузорский район	Guzor district
1710212	Dehqonobod tumani	Дехканабадский район	Dehkanabad district
1710220	Qamashi tumani	Камашинский район	Qamashi district
1710224	Qarshi tumani	Каршинский район	Karshi district
1710229	Koson tumani	Косонский район	Koson district
1710232	Kitob tumani	Китобский район	Kitob district
1710233	Mirishkor tumani	Миришкорский район	Mirishkor district
1710234	Muborak tumani	Муборакский район	Muborak district
1710235	Nishon tumani	Нишонский район	Nishon district
1710237	Kasbi tumani	Касбийский район	Kasbi district
1710240	Ko‘kdala tumani	Кокдалинский район	Kokdala district
1710242	Chiroqchi tumani	Чирокчинский район	Chiroqchi district
1710245	Shahrisabz tumani	Шахрисабзский район	Shahrisabz district
1710250	Yakkabog' tumani	Яккабогский район	Yakkabog district
1710401	Qarshi shahri	город Карши	Qarshi city
1710405	Shahrisabz shahri	город Шахрисабз	Shahrisabz city
1712211	Konimex tumani	Конимехский район	Konimeh district
1712216	Qiziltepa tumani	Кизилтепинский район	Kiziltepa district
1712230	Navbahor tumani	Навбахорский район	Navbahor district
1712234	Karmana tumani	Карманинский район	Karmana district
1712238	Nurota tumani	Нуратинский район	Nurota district
1712244	Tomdi tumani	Томдинский район	Tomdi district
1712248	Uchquduq tumani	Учкудукский район	Uchkuduk district
1712251	Xatirchi tumani	Хатырчинский район	Khatirchi district
1712401	Navoiy shahri	город Навои	Navoi city
1712408	Zarafshon shahri	город Заравшан	Zarafshon city
1712412	G'ozg'on shahri	город Гозган	Gozgan city
1714204	Mingbuloq tumani	Мингбулокский район	Mingbulok district
1714207	Kosonsoy tumani	Косонсойский район	Kosonsoy district
1714212	Namangan tumani	Наманганский район	Namangan district
1714216	Norin tumani	Норинский район	Norin district
1714219	Pop tumani	Папский район	Pop district
1714224	To'raqo'rg'on tumani	Туракурганский район	Turakurgan district
1714229	Uychi tumani	Уйчинский район	Uychi district
1714234	Uchqo'rg'on tumani	Учкурганский район	Uchkurgan district
1714236	Chortoq tumani	Чортокский район	Chortoq district
1714237	Chust tumani	Чустский район	Chust district
1714242	Yangiqo'rg'on tumani	Янгикурганский район	Yangikurgan district
1714401	Namangan shahri	город Наманган	Namangan city
1718203	Oqdaryo tumani	Окдарьинский район	Oqdaryo district
1718206	Bulung'ur tumani	Булунгурский район	Bulungur district
1718209	Jomboy tumani	Джомбойский район	Jomboy district
1718212	Ishtixon tumani	Иштиханский район	Ishtikhan district
1718215	Kattaqo'rg'on tumani	Каттакурганский район	Kattakurgan district
1718216	Qo'shrabot tumani	Кошработский район	Koshrabot district
1718218	Narpay tumani	Нарпайский район	Narpay district
1718224	Payariq tumani	Паярикский район	Payariq district
1718227	Pastdarg'om tumani	Пастдаргомский район	Pastdarg'om district
1718230	Paxtachi tumani	Пахтачинский район	Pakhtachi district
1718233	Samarqand tumani	Самаркандская область	Samarkand district
1718235	Nurobod tumani	Нуробадский район	Nurobad district
1718236	Urgut tumani	Ургутский район	Urgut district
1718238	Toyloq tumani	Тойлакский район	Toylaq district
1718401	Samarqand shahri	город Самарканд	Samarkand city
1718406	Kattaqo'rg'on shahri	город Каттакурган	Kattakurgan city
1722201	Oltinsoy tumani	Олтинсойский район	Oltinsoy district
1722202	Angor tumani	Ангорский район	Angor district
1722203	Bandixon tumani	Бандихонский район	Bandikhon district
1722204	Boysun tumani	Байсунский район	Boysun district
1722207	Muzrabot tumani	Музработский район	Muzrabot district
1722210	Denov tumani	Деновский район	Denov district
1722212	Jarqo'rg'on tumani	Жаркурганский район	Zharkurgan district
1722214	Qumqo'rg'on tumani	Кумкурганский район	Kumkurgan district
1722215	Qiziriq tumani	Кизирикский район	Kiziriq district
1722217	Sariosiyo tumani	Сариосийский район	Sariosiyo district
1722220	Termiz tumani	Термезский район	Termez district
1722221	Uzun tumani	Узунский район	Uzun district
1722223	Sherobod tumani	Шерабадский район	Sherobod district
1722226	Sho'rchi tumani	Шорчинский район	Shorchi district
1722401	Termiz shahri	город Термез	Termez city
1724206	Oqoltin tumani	Околтинский район	Oqoltin district
1724212	Boyovut tumani	Бойовутский район	Boyovut district
1724216	Sayxunobod tumani	Сайхунабадский район	Saykhunabad district
1724220	Guliston tumani	Гулистонский район	Guliston district
1724226	Sardoba tumani	Сардобинский район	Sardoba district
1724228	Mirzaobod tumani	Мирзаабадский район	Mirzaabad district
1724231	Sirdaryo tumani	Сырдарьинский район	Syrdaryo district
1724235	Xovos tumani	Ховосский район	Xovos district
1724401	Guliston shahri	город Гулистан	Guliston city
1724410	Shirin shahri	город Ширин	Shirin city
1724413	Yangiyer shahri	город Янгиер	Yangiyer city
1726262	Uchtepa tumani	Учтепинский район	Uchtepa district
1726264	Bektemir tumani	Бектемирский район	Bektemir district
1726266	Yunusobod tumani	Юнусабадский район	Yunusabad district
1726269	Mirzo Ulug'bek tumani	Мирзо-Улугбекский район	Mirzo Ulugbek district
1726273	Mirobod tumani	Мирабадский район	Mirobod district
1726277	Shayxontohur tumani	Шайхонтохурский район	Shaykhontohur district
1726280	Olmazor tumani	Алмазарский район	Almazor district
1726283	Sergeli tumani	Сергелийский район	Sergeli district
1726287	Yakkasaroy tumani	Яккасарайский район	Yakkasaroy district
1726290	Yashnobod tumani	Яшнабадский район	Yashnobad district
1726292	Yangihayot tumani	Янгихайотский район	Yangihayot district
1726294	Chilonzor tumani	Чиланзарский район	Chilonzor district
1727206	Oqqo'rg'on tumani	Оккурганский район	Oqqorgan district
1727212	Ohangaron tumani	Ахангаронский район	Akhangaron district
1727220	Bekobod tumani	Бекобадский район	Bekobod district
1727224	Bo'stonliq tumani	Бостонликский район	Bostonliq district
1727228	Bo'ka tumani	Букинский район	Buka district
1727233	Quyi Chirchiq tumani	Куйи-Чирчикский район	Kuyi Chirchik district
1727237	Zangiota tumani	Зангиотский район	Zangiota district
1727239	Yuqori Chirchiq tumani	Юкори Чирчикский район	Yukori Chirchik district
1727248	Qibray tumani	Кибрайский район	Qibray district
1727249	Parkent tumani	Паркентский район	Parkent district
1727250	Piskent tumani	Пскентский район	Piskent district
1727253	O'rta Chirchiq tumani	Урта Чирчикский район	Orta Chirchik district
1727256	Chinoz tumani	Чиназский район	Chinoz district
1727259	Yangiyo'l tumani	Янгиюльский район	Yangiyol district
