CODE	UZ	RU	EN
17150085	Uzumzor MFY	Uzumzor MFY	Uzumzor MFY
17150091	Ilg'or MFY	Ilg'or MFY	Ilg'or MFY
17150039	Mehnat MFY	Mehnat MFY	Mehnat MFY
17150019	Dehqonobod MFY	Dehqonobod MFY	Dehqonobod MFY
17150090	Yuksalish MFY	Yuksalish MFY	Yuksalish MFY
17150086	Tinchlik MFY	Tinchlik MFY	Tinchlik MFY
17150087	Yangi Andijon MFY	Yangi Andijon MFY	Yangi Andijon MFY
17150071	Hamdoʻstlik MFY	Hamdoʻstlik MFY	Hamdoʻstlik MFY
17150083	Yangihayot MFY	Yangihayot MFY	Yangihayot MFY
17150088	Yangi Bo'ston MFY	Yangi Bo'ston MFY	Yangi Bo'ston MFY
17150095	Yashnaobod MFY	Yashnaobod MFY	Yashnaobod MFY
17150093	Temur Malik MFY	Temur Malik MFY	Temur Malik MFY
17150092	Binokor MFY	Binokor MFY	Binokor MFY
17150094	Qoraqo'rg'on MFY	Qoraqo'rg'on MFY	Qoraqo'rg'on MFY
17150089	Nodirabegim MFY	Nodirabegim MFY	Nodirabegim MFY
17150004	Barkamol MFY	Barkamol MFY	Barkamol MFY
17150009	Bogʻi Eram MFY	Bogʻi Eram MFY	Bogʻi Eram MFY
17150010	Bogʻishamol MFY	Bogʻishamol MFY	Bogʻishamol MFY
17150012	Buyuk ipak yoʻli MFY	Buyuk ipak yoʻli MFY	Buyuk ipak yoʻli MFY
17150020	Doʻstlik MFY	Doʻstlik MFY	Doʻstlik MFY
17150043	Navbaxor MFY	Navbaxor MFY	Navbaxor MFY
17150025	Iqbol MFY	Iqbol MFY	Iqbol MFY
17150032	Qoratut MFY	Qoratut MFY	Qoratut MFY
17150042	Mustaqillik MFY	Mustaqillik MFY	Mustaqillik MFY
17150050	Pistamozor MFY	Pistamozor MFY	Pistamozor MFY
17150053	Sanoat MFY	Sanoat MFY	Sanoat MFY
17150057	Sogʻlom avlod MFY	Sogʻlom avlod MFY	Sogʻlom avlod MFY
17150066	Oʻzbegim MFY	Oʻzbegim MFY	Oʻzbegim MFY
17150063	Oʻzbekiston MFY	Oʻzbekiston MFY	Oʻzbekiston MFY
17150067	Oʻzbekiston 20 yilligi MFY	Oʻzbekiston 20 yilligi MFY	Oʻzbekiston 20 yilligi MFY
17150068	Oʻrikzor MFY	Oʻrikzor MFY	Oʻrikzor MFY
17150021	Yoyilma MFY	Yoyilma MFY	Yoyilma MFY
17150037	Mashʼal MFY	Mashʼal MFY	Mashʼal MFY
17150060	Taraqqiyot MFY	Taraqqiyot MFY	Taraqqiyot MFY
17150001	Al-Buxoriy MFY	Al-Buxoriy MFY	Al-Buxoriy MFY
17150003	Axmad-Yassaviy MFY	Axmad-Yassaviy MFY	Axmad-Yassaviy MFY
17150002	Andijon MFY	Andijon MFY	Andijon MFY
17150006	Birlashgan MFY	Birlashgan MFY	Birlashgan MFY
17150008	Bobosadin MFY	Bobosadin MFY	Bobosadin MFY
17150014	Boʻston MFY	Boʻston MFY	Boʻston MFY
17150080	Shoʻrbuloq MFY	Shoʻrbuloq MFY	Shoʻrbuloq MFY
17150016	Guliston MFY	Guliston MFY	Guliston MFY
17150026	Islomobod MFY	Islomobod MFY	Islomobod MFY
17150028	Ishchilar MFY	Ishchilar MFY	Ishchilar MFY
17150031	Kengash MFY	Kengash MFY	Kengash MFY
17150036	Maorif MFY	Maorif MFY	Maorif MFY
17150040	Mirpustin MFY	Mirpustin MFY	Mirpustin MFY
17150072	Hamkorlik MFY	Hamkorlik MFY	Hamkorlik MFY
17150061	Taxtakoʻprik MFY	Taxtakoʻprik MFY	Taxtakoʻprik MFY
17150062	Toʻqqizariq MFY	Toʻqqizariq MFY	Toʻqqizariq MFY
17150052	Sadoqat MFY	Sadoqat MFY	Sadoqat MFY
17150082	Yangi Turmush MFY	Yangi Turmush MFY	Yangi Turmush MFY
17150027	Istiqlol MFY	Istiqlol MFY	Istiqlol MFY
17150011	Bunyodkor MFY	Bunyodkor MFY	Bunyodkor MFY
17150033	Qoʻshariq MFY	Qoʻshariq MFY	Qoʻshariq MFY
17150015	Gʻayrat MFY	Gʻayrat MFY	Gʻayrat MFY
