CODE	UZ	RU	EN
1703	Andijon viloyati	Андижанская область	Andijan region
1706	Buxoro viloyati	Бухарская область	Bukhara region
1708	Jizzax viloyati	Джизакская область	Jizzakh region
1710	Qashqadaryo viloyati	Кашкадарьинская область	Kashkadarya region
1712	Navoiy viloyati	Навоийская область	Navoi region
1714	Namangan viloyati	Наманганская область	Namangan region
1718	Samarqand viloyati	Самаркандская область	Samarkand region
1722	Surxondaryo viloyati	Сурхандарьинская область	Surkhandarya region
1724	Sirdaryo viloyati	Сырдарьинская область	Syrdarya region
1726	Toshkent shahar	город Ташкент	Tashkent city
1727	Toshkent viloyati	Ташкентская область	Tashkent region
1730	Farg'ona viloyati	Ферганская область	Fergana region
1733	Xorazm viloyati	Хорезмская область	Khorezm region
1735	Qoraqalpog'iston Respublikasi	Республика Каракалпакстан	Republic of Karakalpakstan
