CODE	UZ	RU	EN
regis0004.00001	 Bolalikdan nogironligi bo‘lgan shaxslar;	Инвалиды с детства	Disabled since childhood
regis0004.00002	Chin yetimlar;	Круглые сироты	Round Orphans
regis0004.00003	I va II guruh nogironligi bo‘lgan shaxslar;	Инвалиды I и II групп	Disabled I and II groups
regis0004.00004	1941 — 1945-yillardagi urush oqibatida nogiron bo‘lgan shaxslar va uning qatnashchilari, shuningdek, ularga tenglashtirilgan shaxslar;	Инвалиды и участники войны 1941 — 1945 годов, а также лица, приравненные к ним	Disabled persons and war participants of 1941-1945, as well as persons treated as such
regis0004.00005	Yoshga oid pensiyaga chiqqan ishlamaydigan shaxslar;	Не работающие пенсионеры по возрасту	Unemployed pensioners by age
regis0004.00006	1941 — 1945-yillardagi urush davrida mehnat jabhasining qatnashchilari;	Участники трудового фронта в годы войны 1941 — 1945 годов	Labour front members during the 1941-1945 war
regis0004.00007	Chernobil AESi falokatini tugatishda ishtirok etgan shaxslar jumlasiga kiruvchi nogironligi bo‘lgan shaxslar;	Инвалиды из числа лиц, принимавших участие в ликвидации аварии на Чернобыльской АЭС	Disabled persons among those who took part in the Chernobyl accident
regis0004.00008	Baynalmilalchi-jangchilar;	Воины-интернационалисты	Internationalist Warriors
regis0004.00009	Ijtimoiy himoya yagona reyestri” axborot tizimi orqali kam ta’minlangan deb e’tirof etilgan oilalarning a’zolari.	Лица из малообеспеченных семей, установленных посредством информационной системы «Единый реестр социальной защиты»	Persons from low-income families established through the information system «Unified register of Social Protection»
regis0004.00010	O‘zbekiston Respublikasi Sog‘liqni saqlash vazirligi tomonidan tasdiqlanadigan ro‘yxat bo‘yicha, 18 yoshga to‘lmagan patologiyali bolalar;	Дети до 18 лет с патологией по перечню, утверждаемому Министерством здравоохранения Республики Узбекистан	Children under 18 years of age with a pathology on the list approved by the Ministry of Health of the Republic of Uzbekistan
regis0004.00011	Chaqiruv komissiyalarining yo‘llanmalari bo‘yicha chaqiruv yoshidagi (18 — 27 yoshdagi) shaxslar;	Лица призывного возраста (18 — 27 лет) по направлениям призывных комиссий	Conscripts of conscription age (18-27 years) by conscription commission
regis0004.00012	O‘zbekiston Respublikasi Sog‘liqni saqlash vazirligi tomonidan tasdiqlanadigan ro‘yxat bo‘yicha, patologiyali homilador ayollar1;	Беременные женщины с патологией по перечню, утверждаемому Министерством здравоохранения Республики Узбекистан	Pregnant women with pathology on the list approved by the Ministry of Health of the Republic of Uzbekistan
regis0004.00013	O‘zbekiston Respublikasi Sog‘liqni saqlash vazirligi tomonidan tasdiqlanadigan ro‘yxat bo‘yicha, endokrin kasalliklariga chalingan bemorlar2;	Больные, страдающие эндокринными заболеваниями, по перечню, утверждаемому Министерством здравоохранения Республики Узбекистан	Patients suffering from endocrine diseases, according to the list approved by the Ministry of Health of the Republic of Uzbekistan
regis0004.00014	O‘zbekiston Respublikasi Sog‘liqni saqlash vazirligi tomonidan tasdiqlanadigan ro‘yxat bo‘yicha, jinsiy yo‘l bilan yuqtiriladigan kasalliklarga chalingan shaxslar3;	Лица, страдающие заболеваниями, передаваемыми половым путем, по перечню, утверждаемому Министерством здравоохранения Республики Узбекистан	Persons suffering from sexually transmitted diseases, according to the list approved by the Ministry of Health of the Republic of Uzbekistan
regis0004.00015	O‘zbekiston Respublikasi Sog‘liqni saqlash vazirligi tomonidan tasdiqlanadigan ro‘yxat bo‘yicha, sil kasalligiga chalingan shaxslar4;	Лица, страдающие туберкулезом по перечню, утверждаемому Министерством здравоохранения Республики Узбекистан	Persons suffering from tuberculosis on the list approved by the Ministry of Health of the Republic of Uzbekistan
regis0004.00016	O‘zbekiston Respublikasi Sog‘liqni saqlash vazirligi tomonidan tasdiqlanadigan ro‘yxat bo‘yicha, onkologiya kasalliklariga chalingan shaxslari5.	Лица, страдающие онкологическими заболеваниями по перечню, утверждаемому Министерством здравоохранения Республики Узбекистан	Persons suffering from oncological diseases on the list approved by the Ministry of Health of the Republic of Uzbekistan
regis0004.00017	Dasturli gemodializ oluvchi bemorlar.	Пациенты, проходящие гемодиализ	Patients undergoing hemodialysis
regis0004.00018	Mudofaa vazirligi, Ichki ishlar vazirligi, Favqulodda vaziyatlar vazirligi, Milliy gvardiya, Davlat xavfsizlik xizmati, O‘zbekiston Respublikasi Prezidenti davlat xavfsizlik xizmati, Bojxona qo‘mitasi va Elektron texnologiyalarni rivojlantirish markazining Vatan himoyasi va el-yurt tinchligi yo‘lida (O‘zbekiston Respublikasi Prezidenti tomonidan e’lon qilingan favqulodda holat (urush holati) davrida jalb qilingan vaqtida, shuningdek, jangovar (harbiy) harakatlar olib borilayotgan paytda) yaralanganligi, kontuziya yoki mayib bo‘lganligi oqibatida halok bo‘lgan harbiy xizmatchilari va xodimlarining oila a’zolari (ota-onasi, halok bo‘lgan vaqtda qonuniy nikohda bo‘lgan xotini (eri) va farzandlari).	Семьи погибших и умерших военнослужащих и работников, погибших и умерших в период действия чрезвычайного положения, объявленного Президентом Республики Узбекистан, а также в период ведения боевых (военных) действий, в результате ранения, контузии или увечья, супруги (супруги, находившиеся в законном браке в момент гибели или умерщвления, а также дети).	Families of soldiers and workers killed or died during the state of emergency declared by the President of the Republic of Uzbekistan, as well as during combat (military) operations, as a result of injury, contusion or injury, spouses (spouses who were legally married at the time of death or death, and children).
regis0004.00019	Bemor tibbiyot xodimlari	Медицинские работники	Medical staff
