CODE	UZ	RU	EN
  036	Avstraliya	Австралия	Australia
  040	Avstriya	Австрия	Austria
  031	Ozarbayjon	Азербайджан	Azerbaijan
  008	Albaniya	Албания	Albania
  012	Jazoir	Алжир	Algeria
  016	Amerika Samoasi	Американское Самоа	American Samoa
  660	Anguilla	Ангилья	Anguilla
  024	Angola	Ангола	Angola
  020	Andorra	Андорра	Andorra
  010	Antarktida	Антарктида	Antarctica
  028	Antigua va Barbuda	Антигуа и Барбуда	Antigua and Barbuda
  032	Argentina	Аргентина	Argentina
  051	Armaniston	Армения	Armenia
  533	Aruba	Аруба	Aruba
  004	Afg'oniston	Афганистан	Afghanistan
  044	Bagama orollari	Багамы	Bahamas
  050	Bangladesh	Бангладеш	Bangladesh
  052	Barbados	Барбадос	Barbados
  048	Bahrayn	Бахрейн	Bahrain
  112	Belarusiya	Беларусь	Belarus
  084	Beliz	Белиз	Belize
  056	Belgiya	Бельгия	Belgium
  204	Benin	Бенин	Benin
  060	Bermud orollari	Бермудские острова	Bermuda
  100	Bolgariya	Болгария	Bulgaria
  068	Boliviya, Ko'p millatli davlat	Боливия, Многонациональное Государство	Bolivia, Plurinational State of
  535	Bonaire, Sint Eustatius va Saba	Бонайре, Синт-Эстатиус и Саба	Bonaire, Sint Eustatius and Saba
  070	Bosniya va Gertsegovina	Босния и Герцеговина	Bosnia and Herzegovina
  072	Botsvana	Ботсвана	Botswana
  076	Braziliya	Бразилия	Brazil
  086	Britaniya Hind okeani hududi	Британская территория в Индийском океане	British Indian Ocean Territory
  096	Bruney Darussalam	Бруней-Даруссалам	Brunei Darussalam
  854	Burkina-Faso	Буркина-Фасо	Burkina Faso
  108	Burundi	Бурунди	Burundi
  064	Butan	Бутан	Bhutan
  548	Vanuatu	Вануату	Vanuatu
  826	Birlashgan Qirollik	Великобритания	United Kingdom
  348	Vengriya	Венгрия	Hungary
  862	Venesuela, Bolivar Respublikasi	Венесуэла, Боливарианская Республика	Venezuela, Bolivarian Republic of
  092	Virjiniya orollari, Britaniya	Виргинские острова, Британские	Virgin Islands, British
  850	Virjiniya orollari, AQSH	Виргинские острова, США	Virgin Islands, U.S.
  626	Timor-Sharqiy	Восточный Тимор	Timor-Leste
  704	Vyetnam	Вьетнам	Viet Nam
  266	Gabon	Габон	Gabon
  332	Gaiti	Гаити	Haiti
  328	Gayana	Гайана	Guyana
  270	Gambiya	Гамбия	Gambia
  288	Gana	Гана	Ghana
  312	Gvadelupa	Гваделупа	Guadeloupe
  320	Gvatemala	Гватемала	Guatemala
  324	Gvineya	Гвинея	Guinea
  624	Gvineya-Bisau	Гвинея-Бисау	Guinea-Bissau
  276	Germaniya	Германия	Germany
  831	Gernsi	Гернси	Guernsey
  292	Gibraltar	Гибралтар	Gibraltar
  340	Gonduras	Гондурас	Honduras
  344	Gonkong	Гонконг	Hong Kong
  308	Grenada	Гренада	Grenada
  304	Grenlandiya	Гренландия	Greenland
  300	Gretsiya	Греция	Greece
  268	Gruziya	Грузия	Georgia
  316	Guam	Гуам	Guam
  208	Daniya	Дания	Denmark
  832	Jersi	Джерси	Jersey
  262	Jibuti	Джибути	Djibouti
  212	Dominika	Доминика	Dominica
  214	Dominika Respublikasi	Доминиканская Республика	Dominican Republic
  818	Misr	Египет	Egypt
  894	Zambiya	Замбия	Zambia
  732	G'arbiy Sahara	Западная Сахара	Western Sahara
  716	Zimbabve	Зимбабве	Zimbabwe
  376	Isroil	Израиль	Israel
  356	Hindiston	Индия	India
  360	Indoneziya	Индонезия	Indonesia
  400	Iordaniya	Иордания	Jordan
  368	Iroq	Ирак	Iraq
  364	Eron, Islom Respublikasi	Иран, Исламская Республика	Iran, Islamic Republic of
  372	Irlandiya	Ирландия	Ireland
  352	Islandiya	Исландия	Iceland
  724	Ispaniya	Испания	Spain
  380	Italiya	Италия	Italy
  887	Yaman	Йемен	Yemen
  132	Kabo Verde	Кабо-Верде	Cabo Verde
