CODE	UZ	RU	EN
regis0005.00001	Uyushmagan (0-3 yosh)	Неорганизованное (0-3 лет)	Unorganized (0-3 years)
regis0005.00002	Maktabgacha (3-7 yosh)	Дошкольное (3-7 лет)	Preschool (3-7 years)
regis0005.00003	Ikkilamchi tugallanmagan	Среднее незаконченное	Incomplete secondary
regis0005.00004	O'rtacha	Среднее	Secondary
regis0005.00005	Aqli zaiflar uchun maktab	Школа для умственно отсталых	School for the mentally retarded
regis0005.00006	Oʻrta maxsus taʼlim	Среднее специальное образование	Secondary special education
regis0005.00007	Tugallanmagan oliy ta'lim	Незаконченное высшее	Incomplete higher
regis0005.00008	Oliy ma'lumot	Высшее образование	Higher education
regis0005.00009	O'qimagan (ijtimoiy/tibbiy sabab)	Не учился (социальная\медицинская причина)	Did not study (social/medical reason)
regis0005.00010	Boshqa	Другое	Other
