CODE	UZ	RU	EN
1	Ruslar	Русские	Russians
3	Pomors	Поморы	Pomors
4	Abazinlar	Абазины	Abazins
5	Abxazlar	Абхазы	Abkhazians
6	Avarlar	Аварцы	Avars
7	Andes	Андийцы	Andians
8	Archintsi	Арчинцы	Archins
9	Axvaxiylar	Ахвахцы	Akhvakhs
10	Bag'ulali	Багулалы	Bagulaly
11	Bezhtiny	Бежтинцы	Bezhtins
12	Botlix odamlari	Ботлихцы	Botlikhs
13	Ginux xalqi	Гинухцы	Ginukhs
14	Godoberinlar	Годоберинцы	Godoberins
15	Gunzibiyaliklar	Гунзибцы	Gunzibs
16	Didoytsy	Дидойцы	Didoys
17	Karatinliklar	Каратинцы	Karatins
18	Tyndalls	Тиндалы	Tindals
19	Xvarshin	Хваршины	Khvarshis
20	Chamalali	Чамалалы	Chamalals
21	Aguly	Агулы	Aghuls
22	Adige xalqi	Адыгейцы	Adyghe
23	Ozarbayjonlar	Азербайджанцы	Azerbaijanis
24	Aleutlar	Алеуты	Aleuts
25	Oltoyliklar	Алтайцы	Altaians
26	Telengitlar	Теленгиты	Telengits
27	Tubalar	Тубалары	Tubalars
28	Chelkanlar	Челканцы	Chelkans
29	Amerikaliklar	Американцы	Americans
30	Arablar	Арабы	Arabs
31	Markaziy Osiyo arablari	Арабы среднеазиатские	Central Asian Arabs
32	Armanlar	Армяне	Armenians
33	Cherkesog'ay	Черкесогаи	Cherkessogai
34	Ossuriyaliklar	Ассирийцы	Assyrians
35	Afg'onlar	Афганцы	Afghans
36	Balkarlar	Балкарцы	Balkars
37	Boshqirdlar	Башкиры	Bashkirs
38	Belarusians	Белорусы	Belarusians
39	Besermyans	Бесермяне	Besermyans
40	Bulgarians	Болгары	Bulgarians
41	Bosnians	Боснийцы	Bosnians
42	British	Британцы	British
43	Buryats	Буряты	Buryats
44	Hungarians	Венгры	Hungarians
45	Vepsians	Вепсы	Vepsians
46	Vods	Водь	Vods
47	Vietnamese	Вьетнамцы	Vietnamese
48	Gagauz	Гагаузы	Gagauz
49	Mountain Jews	Горские евреи	Mountain Jews
50	Greeks	Греки	Greeks
51	Urum Greeks	Греки-урумы	Urum Greeks
52	Georgian Jews	Грузинские евреи	Georgian Jews
53	Georgians	Грузины	Georgians
54	Adjarians	Аджарцы	Adjarians
55	Ingiloys	Ингилойцы	Ingiloys
56	Lazis	Лазы	Lazis
57	Mingrelians	Мегрелы	Mingrelians
58	Svans	Сваны	Svans
59	Dargins	Даргинцы	Dargins
60	Kaytag xalqi	Кайтагцы	Kaitags
61	Kubachi aholisi	Кубачинцы	Kubachi
62	Dolganlar	Долганы	Dolgans
63	Dunganlar	Дунгане	Dungans
64	Yahudiylar	Евреи	Jews
65	Yazidiylar	Езиды	Yezids
66	Izhoriyaliklar	Ижорцы	Izhorians
67	Ingush	Ингуши	Ingush
68	Hindular	Индийцы	Indians
69	Iispanlar	Испанцы	Spaniards
70	Italiyaliklar	Итальянцы	Italians
71	Itelmens	Ительмены	Itelmens
72	Kabardiyaliklar	Кабардинцы	Kabardians
73	Qozoqlar	Казахи	Kazakhs
74	Qalmiqlar	Калмыки	Kalmyks
75	Kamchadal	Камчадалы	Kamchadals
76	Karaitlar	Караимы	Karaims
77	Qoraqalpoqlar	Каракалпаки	Karakalpaks
78	Qorachaylar	Карачаевцы	Karachays
79	Kareliyaliklar	Карелы	Kareli
80	Kereki	Кереки	Kereks
81	Chum qizil ikra	Кеты	Kets
82	Yugi	Юги	Yugs
83	Qirg'iz	Киргизы	Kirghiz
84	Xitoy	Китайцы	Chinese
85	Komi	Коми	Komi
86	Komi-Izhemtsy	Коми-ижемцы	Komi-Izhemtsy
87	Komi-Permyaklar	Коми-пермяки	Komi-Permyaks
88	koreyslar	Корейцы	Koreans
89	Koryaklar	Коряки	Koryaks
90	Alyutoriyaliklar	Алюторцы	Alyutors
91	Qrim tatarlari	Крымские татары	Crimean Tatars
92	Qrimchaklar	Крымчаки	Krymchaks
93	Kubaliklar	Кубинцы	Cubans
94	Kumandinlar	Кумандинцы	Kumandins
95	Qumiklar	Кумыки	Kumyks
96	Kurdlar	Курды	Kurds
97	Qurmanch	Курманч	Kurmanch
98	Laktsy	Лакцы	Lakts
99	Latviyaliklar	Латыши	Latvians
100	Latgaliyaliklar	Латгальцы	Latgalians
101	Lezgilar	Лезгины	Lezgins
102	Litvaliklar	Литовцы	Lithuanians
103	Makedoniyaliklar	Македонцы	Macedonians
104	Muncie	Манси	Mansi
105	Mari	Марийцы	Mari
106	Mari tog'i	Горные марийцы	Mountain Mari
107	Yaylov-Sharqiy Mari	Лугово-восточные марийцы	Meadow-Eastern Mari
108	Moldovanlar	Молдаване	Moldovans
109	Mo'g'ullar	Монголы	Mongols
110	Mordva	Мордва	Mordva
111	Mordva-moksha	Мордва-мокша	Mordva-moksha
112	Mordva-Erzya	Мордва-эрзя	Mordva-Erzya
113	Nagaibaki	Нагайбаки	Nagaibaki
114	Nanai xalqi	Нанайцы	Nanai people
115	Nganasanlar	Нганасаны	Nganasans
116	Negidaliyaliklar	Негидальцы	Negidalians
117	Nemislar	Немцы	Germans
118	Mennonitlar	Меннониты	Mennonites
119	Nenets	Ненцы	Nenets
120	Nivkhi	Нивхи	Nivkhi
121	Nogaylar	Ногайцы	Nogais
