Code	UZ	RU (SNOMED CT)	EN
 53075003 			Distal phalanx of great toe
  76986006 			Distal phalanx of second toe
  65258003 			Distal phalanx of third toe
  54333003 			Distal phalanx of fourth toe
  10770001 			Distal phalanx of little toe
  363670009 			Interphalangeal joint structure of great toe
  371216008 			Distal interphalangeal joint structure of second toe (body structure)
  371219001 			Distal interphalangeal joint structure of third toe (body structure)
  371205001 			Distal interphalangeal joint structure of fourth toe (body structure)
  371203008 			Distal interphalangeal joint structure of fifth toe (body structure)
  371292009 			Proximal interphalangeal joint structure of second toe (body structure)
  371255009 			Proximal interphalangeal joint structure of third toe (body structure)
  371288002 			Proximal interphalangeal joint structure of fourth toe (body structure)
  371284000 			Proximal interphalangeal joint structure of fifth toe (body structure)
  67169006 			Head of first metatarsal bone
  9677004 			Head of second metatarsal bone
  46971007 			Head of third metatarsal bone
  3134008 			Head of fourth metatarsal bone
  71822005 			Head of fifth metatarsal bone
  89221001 			Base of first metatarsal bone
  90894004 			Base of second metatarsal bone
  89995006 			Base of third metatarsal bone
  15368009 			Base of fourth metatarsal bone
  30980004 			Base of fifth metatarsal bone
  38607000 			Styloid process of fifth metatarsal bone
  2979003 			Medial cuneiform bone
  19193007 			Intermediate cuneiform bone
  67411009 			Lateral cuneiform bone
  81012005 			Cuboid
  75772009 			Navicular bone of foot
  67453005 			Talus
  80144004 			Calcaneus
  6417001 			Medial malleolus
  113225006 			Lateral malleolus of fibula
  22457002 			Head of fibula
  45879002 			Tibial tuberosity
  122474001 			Medial condyle of femur
  122475000 			Lateral condyle of femur
  69030007 			Ischial tuberosity
  29850006 			Iliac crest
  442083009 			Anatomical or acquired body structure (body structure)
  107008 			Fetal part of placenta
  108003 			Entire condylar emissary vein
  110001 			Visceral layer of Bowman's capsule
  111002 			Parathyroid gland
  116007 			Subcutaneous tissue of medial surface of index finger
  124002 			Coronoid process of mandible
  149003 			Central pair of microtubules, cilium or flagellum, not bacterial
  155008 			Deep circumflex artery of ilium
  167005 			Supraclavicular part of brachial plexus
  202009 			Anterior division of renal artery
  205006 			Entire left commissure of aortic valve
  206007 			Gluteus maximus muscle
  221001 			Articular surface, phalanges, of fourth metacarpal bone
  227002 			Canal of Hering
  233006 			Hepatocolic ligament
  235004 			Superior labial artery
  246001 			Lateral vestibular nucleus
  247005 			Mesotympanum
  251007 			Pectoral region
  256002 			Kupffer cell
  263002 			Thoracic nerve
  266005 			Right lower lobe of lung
  272005 			Superior articular process of lumbar vertebra
  273000 			Lateral myocardium
  283001 			Central axillary lymph node
  284007 			Entire flexor tendon and tendon sheath of fourth toe
  289002 			Metacarpophalangeal joint of index finger
  301000 			Fifth metatarsal bone
  311007 			Plantar surface of great toe
  315003 			Skin of umbilicus
  318001 			Cardiac impression of liver
  344001 			Ankle
  345000 			Atrioventricular bundle
  356000 			Reticular corium
  393006 			Wall of urinary bladder
  402006 			Dental branches of inferior alveolar artery
  405008 			Entire posterior temporal diploic vein
  414003 			Gastric fundus
  420002 			Anastomosis, heterocladic
  422005 			Inferior surface of tongue
  446003 			Trochanteric bursa
  457008 			Collateral ligament
  461002 			Lateral corticospinal tract
  464005 			Basophilic normoblast
  465006 			Ascending frontal gyrus
  471000 			Flexor hallucis longus muscle
  480000 			Cardiopulmonary circulatory system
  485005 			Transverse colon
  528006 			Costal surface of lung
  552004 			Entire vagus nerve parasympathetic fibers to cardiac plexus
  565008 			Intervertebral disc space of fifth lumbar vertebra
