CODE	UZ	RU	EN
0	AVSTRIYA	АВСТРИЯ	AUSTRIA
1	A‘ZERBAYJAN	АЗЕРБАЙДЖАН	AZERBAIJAN
2	JAZAIR	АЛЖИР	ALGERIA
3	AMERIKALI SAMOA	АМЕРИКАНСКОЕ САМОА	AMERICAN SAMOA
5	ANTARKTIKA	АНТАРКТИКА	ANTARCTIC
6	ANTIGUA HA‘M BARBUDA	АНТИГУА И БАРБУДА	ANTIGUA AND BARBUDA
8	MISR	ЕГИПЕТ	EGYPT
9	ARGENTINA	АРГЕНТИНА	ARGENTINA
10	BARBADOS	БАРБАДОС	BARBADOS
11	BELIZ	БЕЛИЗ	BELIZE
12	BERMUD ATAWLARI	БЕРМУДСКИЕ ОСТРОВА	BERMUDA ISLAND
13	BOSNIYA HA‘M GERSEGOVINA	БОСНИЯ И ГЕРЦЕГОВИНА	BOSNIYA AND GERCEGOVINA
15	BRITANIYA VIRGINIYA ATAWLARI	ВИРГИНСКИЕ ОСТРОВА(БРИТАНСКИЕ)	VIRGIN ISLANDS (BRITISH)
16	BRUNEY-DORUSSALOM	БРУНЕЙ-ДАРУССАЛАМ	BRUNEI-DARUSSALAM
17	BURKINA-FASO	БУРКИНА-ФАСО	BURKINA-FASO
18	LYUKSEMBURG	ЛЮКСЕМБУРГ	LUXEMBOURG
19	VENGRIYA	ВЕНГРИЯ	HUNGARY
20	VIRGINIYA ATAWLARI	ВИРГИНСКИЕ ОСТРОВА(США)	VIRGIN ISLANDS(USA)
21	URUGHA‘MY	УРУГВАЙ	URUGUAY
22	SHIG‘IS TIMOR	ВОСТОЧНЫЙ ТИМОР	EAST TIMOR
23	GABON	ГАБОН	GABON
24	GVADELUPA	ГВАДЕЛУПА	GUADELOUPE
26	GVINEYA	ГВИНЕЯ	GUINEA
27	ALMANIYA	ГЕРМАНИЯ	GERMANY
28	GIBRALTAR	ГИБРАЛТАР	GIBRALTAR
29	GONKONG	ГОНКОНГ	HONG KONG
30	BAXRAYN	БАХРЕЙН	BAHRAIN
31	ISRAIL	ИЗРАИЛЬ	ISRAEL
32	KAMBODJA	КАМБОДЖА	CAMBODIA
33	QATAR	КАТАР	QATAR
34	QUVAYT	КУВЕЙТ	KUWAIT
35	VATIKAN	ВАТИКАН, ГОСУДАРСТВО-ГОРОД	VATICAN CITY, STATE-CITY
36	GRENADA	ГРЕНАДА	GRENADA
37	GRENLANDIYA	ГРЕНЛАНДИЯ	GREENLAND
38	GRETSIYA	ГРЕЦИЯ	GREECE
39	GUAM	ГУАМ	GUAM
40	MADAGASKAR	МАДАГАСКАР	MADAGASCAR
41	SAN-TOME HA‘M PRINSIPI	САН-ТОМЕ И ПРИНСИПИ	SAO TOME AND PRINCIPE
42	SHRI-LANKA	ШРИ-ЛАНКА	SHRI-LANK
44	DOMINIKAN RESPUBLIKASI	ДОМИНИКАНСКАЯ РЕСПУБЛИКА	DOMINICAN REPUBLIC
45	BATIS SAXARA	ЗАПАДНАЯ САХАРА	WESTERN SAHARA
47	IORDANIYA	ИОРДАНИЯ	JORDAN
